項目物理名,項目論理名,ドメイン物理名,ドメイン論理名,データ型,全体桁数,小数桁数,コンディション物理名,コンディション論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"HURIKOMI_SAKI_KOUZA_NO","振込_先_口座_番号","","","X","7","0","","","","base01","2008/12/02 13:21:40","base01","2008/12/02 13:21:40"
"HURIKOMI_SAKI_KOUZA_SYUBETU","振込_先_口座_種別","","","X","1","0","","","","base01","2008/12/02 13:21:19","base01","2008/12/02 13:21:19"
"HURIKOMI_SAKI_SITEN_CD","振込_先_支店_コード","GINKOU_SITEN_CD","銀行支店コード","X","3","0","","","","base01","2008/11/20 21:22:33","wt02","2009/10/30 11:34:24"
"HURIKOMI_SAKI_SITEN_NM","振込_先_支店_名称","","","N","48","0","","","","base01","2008/11/20 21:23:04","base01","2008/12/02 13:19:02"
"HURIKOMI_SAKI_SITEN_NM_KANA","振込_先_支店_名称_カナ","","","N","48","0","","","","base01","2008/12/02 13:20:48","base01","2008/12/02 13:20:48"
"HURIKOMI_SITEI_YOUSI_KBN","振込_指定_用紙_区分","","","X","1","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/18 22:13:18"
"HURIKOMI_SITEI_YOUSI_KBN_NM","振込_指定_用紙_区分_名称","","","N","8","0","","","","fsol12","2011/03/04 18:44:23","fsol12","2011/03/04 18:44:23"
"HURIKOMI_TESURYOU","振込_手数料","KINGAKU8","金額8","9","8","0","","","","sis01","2008/04/25 12:14:27","wt02","2009/10/30 11:35:01"
"HURIKOMI_TESURYOU_KBN","振込_手数料_区分","","","X","1","0","","","","sis01","2008/04/25 12:14:27","fsol07","2008/09/10 13:09:19"
"HURIKOMI_TESURYOU_KBN_NM","振込_手数料_区分_名称","","","N","10","0","","","","lpa00","2008/07/10 11:05:11","lpa00","2008/07/10 11:05:11"
"HURIKOMI_TESURYOU_TAX","振込_手数料_消費税","KINGAKU8","金額8","9","8","0","","","","base08","2008/12/05 17:32:30","wt02","2009/10/30 11:35:25"
"HURIWAKE_BUSYO_CD","振分_部署_コード","","","X","5","0","","","","fsol05","2010/10/07 19:23:40","fsol05","2010/10/07 19:23:40"
"HURIWAKE_BUSYO_NM_RYAKU","振分_部署_名称_略","","","N","20","0","","","","fsol05","2010/10/07 19:23:40","fsol05","2010/10/07 19:23:40"
"HURIWAKE_KANRI_BUSYO_CD","振分_管理_部署_コード","","","X","5","0","","","","fsol10","2010/12/20 15:57:47","fsol10","2010/12/20 15:57:47"
"HURIWAKE_KANRI_BUSYO_NM_RYAKU","振分_管理_部署_名称_略","","","N","20","0","","","","fsol10","2010/12/20 15:58:06","fsol10","2010/12/20 15:58:06"
"HURIWAKE_KIN12","振分_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:40","fsol05","2010/10/07 19:23:40"
"HURIWAKE_KIN12_GOUKEI","振分_金額12_合計","","","9","12","0","","","","fsol10","2011/01/04 17:08:17","fsol10","2011/01/04 17:08:17"
"HURIWAKE_NEBIKI","振分_値引","","","9","12","0","","","","fsol05","2010/10/07 19:23:40","fsol05","2010/12/27 10:48:49"
"HURIWAKE_NEBIKI_UTIZEI","振分_値引_内税","","","9","12","0","","","","fsol05","2010/12/27 10:48:31","fsol05","2010/12/27 10:48:31"
"HURIWAKE_TAX","振分_消費税","","","9","12","0","","","","fsol05","2010/10/07 19:23:40","fsol05","2010/12/27 10:49:54"
"HURIWAKE_TOK_CD","振分_得意先_コード","","","X","7","0","","","","fsol05","2010/10/07 19:23:40","fsol05","2010/10/07 19:23:40"
"HURIWAKE_TOK_NM_RYAKU","振分_得意先_名称_略","","","N","30","0","","","","fsol10","2010/12/09 12:21:53","fsol10","2010/12/09 12:21:53"
"HUTAI_KINGAKU","付帯_金額","","","9","8","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"HUTAI_KOUZI_KINGAKU","付帯_工事_金額","","","9","8","0","","","","fsol05","2009/04/13 15:32:10","fsol05","2009/04/13 15:32:10"
"HUTAN_BUSYO_CD","負担_部署_コード","","","X","5","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"HUTAN_BUSYO_KBN","負担_部署_区分","","","X","1","0","","","","fsol07","2011/01/26 15:54:31","fsol07","2011/01/26 15:54:31"
"HUTAN_BUSYO_NM_RYAKU","負担_部署_名称_略","","","N","20","0","","","","fsol10","2010/10/14 14:27:50","fsol10","2010/10/14 14:27:50"
"HUTAN_BUSYO_SETTEI_KBN","負担_部署_設定_区分","","","X","1","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"HUTAN_BUSYO_TOK_KBN","負担_部署_得意先_区分","","","X","1","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/26 15:53:11"
"HUTAN_GOUKEI_KIN10","負担_合計_金額10","","","9","10","0","","","","fsol12","2011/03/17 15:26:21","fsol12","2011/03/17 15:26:21"
"HUTAN_GOUKEI_KIN12","負担_合計_金額12","","","9","12","0","","","","fsol12","2011/03/04 18:11:03","fsol12","2011/03/04 18:11:03"
"HUTAN_HIS_CD","負担_履歴_コード","","","X","30","0","","","","fsol07","2011/01/25 21:05:52","fsol07","2011/01/25 21:05:52"
"HUTAN_KAISYA_CD","負担_会社_コード","","","X","4","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"HUTAN_KBN","負担_区分","","","X","2","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"HUTAN_KBN_NM","負担_区分_名称","","","N","8","0","","","","fsol05","2009/04/13 15:08:21","fsol05","2009/04/13 22:01:49"
"HUTAN_KIN10","負担_金額10","","","9","10","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/18 22:13:18"
"HUTAN_MEI_NO","負担_明細_番号","","","9","3","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/18 22:13:18"
"HUTAN_TOK_CD","負担_得意先_コード","","","X","7","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/18 22:13:18"
"HUTAN_TOK_NM_RYAKU","負担_得意先_名称_略","","","N","30","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/18 22:13:18"
"HUWATARI_TEGATA","不渡_手形","","","9","12","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"HYOUZI_DATA_KENSU","表示_データ_件数","","","9","6","0","","","","wt01","2008/07/30 18:39:26","wt01","2008/07/30 18:39:26"
"HYOUZI_KANOU_TUKISU","表示_可能_月数","","","9","2","0","","","","fsol12","2011/03/04 18:25:43","fsol12","2011/03/04 18:25:43"
"HYOUZI_KBN","表示_区分","","","X","1","0","COD_YAKU_HYOUZI_KBN01","役職表示区分01","","fsol09","2008/06/19 14:38:36","fsol14","2008/12/19 13:40:08"
"HYOUZI_KBN_IKKATU","表示_区分_一括","","","X","1","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"HYOUZI_KBN_OROSI","表示_区分_卸","","","X","1","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"HYOUZI_KBN_TYOKUHAN","表示_区分_直販","","","X","1","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"HYOUZI_KBN_TYOUSEI","表示_区分_調整","","","X","1","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"HYOUZI_NO","表示_番号","","","9","3","0","","","","sis02","2008/07/01 10:43:36","sis02","2008/07/01 10:43:36"
"HYOUZI_SEQ","表示_順序","","","X","2","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"HYOUZYUN_KINGAKU","標準_金額","","","9","8","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"IDOU_AZUKARI_TOK_CD","移動_預り_得意先_コード","","","X","7","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IDOU_GYOUSYA_CD","移動_業者_コード","","","X","5","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IDOU_HANSU","移動_版数","","","9","3","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IDOU_HIKIAGE_NAIYOU","移動_引上_内容","","","N","40","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IDOU_IN_KBN","移動_入力_区分","","","X","1","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IDOU_KBN","移動_区分","","","X","6","0","","","","fsol05","2009/04/13 16:06:14","fsol05","2009/04/13 16:06:14"
"IDOU_LOCATION_CD","移動_ロケーション_コード","","","X","9","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IDOU_MOTO_KOUZA_NO","移動_元_口座_番号","","","X","7","0","","","","fsol10","2011/01/11 16:05:53","fsol10","2011/01/11 16:05:53"
"IDOU_SAKI_KOUZA_NO","移動_先_口座_番号","","","X","7","0","","","","fsol10","2011/02/22 16:16:42","fsol10","2011/02/22 16:16:42"
"IDOU_SETTI_BI","移動_設置_日","","","X","8","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IDOU_SETTI_HIKIAGE_KBN","移動_設置_引上_区分","","","X","1","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IDOU_TOK_CD","移動_得意先_コード","","","X","7","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IKAN_BI","移管_日","","","X","8","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IKAN_GO_BUSYO_CD","移管_後_部署_コード","","","X","5","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IKAN_GO_BUSYO_NM_RYAKU","移管_後_部署_名称_略","","","N","20","0","","","","fsol05","2010/12/27 15:32:47","fsol05","2010/12/27 15:32:47"
"IKAN_GO_CHANNEL_KBN","移管_後_チャネル_区分","","","X","2","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IKAN_GO_KEIZYOU_BUSYO_CD","移管_後_計上_部署_コード","","","X","5","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"IKAN_GO_KEIZYOU_KAISYA_CD","移管_後_計上_会社_コード","","","X","4","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"IKAN_GO_KEIZYOU_KEIRI_CD","移管_後_計上_経理_コード","","","X","5","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"IKAN_GO_TOK_CD","移管_後_得意先_コード","","","X","7","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IKAN_MAE_BUSYO_CD","移管_前_部署_コード","","","X","5","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IKAN_MAE_BUSYO_NM_RYAKU","移管_前_部署_名称_略","","","N","20","0","","","","fsol05","2010/12/27 15:31:41","fsol05","2010/12/27 15:31:41"
"IKAN_MAE_CHANNEL_KBN","移管_前_チャネル_区分","","","X","2","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IKAN_MAE_KEIZYOU_BUSYO_CD","移管_前_計上_部署_コード","","","X","5","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"IKAN_MAE_KEIZYOU_KAISYA_CD","移管_前_計上_会社_コード","","","X","4","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"IKAN_MAE_KEIZYOU_KEIRI_CD","移管_前_計上_経理_コード","","","X","5","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"IKAN_MAE_TOK_CD","移管_前_得意先_コード","","","X","7","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IKAN_MOTO_BUSYO","移管_元_部署","","","N","27","0","","","","fsol10","2011/01/11 15:43:55","fsol10","2011/01/11 15:43:55"
"IKAN_MOTO_BUSYO_CD","移管_元_部署_コード","","","X","5","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"IKAN_MOTO_BUSYO_KBN","移管_元_部署_区分","","","X","2","0","","","","fsol10","2011/01/11 15:44:24","fsol10","2011/01/11 15:44:24"
"IKAN_MOTO_BUSYO_NM_RYAKU","移管_元_部署_名称_略","","","N","20","0","","","","fsol10","2011/01/11 15:46:11","fsol10","2011/01/11 15:46:11"
"IKAN_SAKI_BUSYO_CD","移管_先_部署_コード","","","X","5","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"IKAN_SAKI_BUSYO_KBN","移管_先_部署_区分","","","X","2","0","","","","fsol10","2011/01/11 15:44:47","fsol10","2011/01/11 15:44:47"
"IKAN_SAKI_BUSYO_NM_RYAKU","移管_先_部署_名称_略","","","N","20","0","","","","fsol10","2011/01/11 15:45:15","fsol10","2011/01/11 15:45:15"
"IKAN_SYORI_KBN","移管_処理_区分","","","X","1","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"IKAN_YM","移管_年月","","","X","6","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IKAN_YMD","移管_年月日","","","X","8","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"IKANSAKI_BUSYO_CD","移管先_部署_コード","BUSYO_CD","部署コード","X","5","0","","","","base08","2008/12/05 13:43:18","wt02","2009/10/30 11:36:12"
"IKANSAKI_BUSYO_NM","移管先_部署_名称","","","N","60","0","","","","base08","2008/12/05 13:45:03","base08","2008/12/05 13:45:03"
"IKANSAKI_KAISYA_CD","移管先_会社_コード","KAISYA_CD","会社コード","X","4","0","","","","base08","2008/12/05 13:46:11","wt02","2009/10/30 11:36:44"
"IKANSAKI_TANTOU_KEIRI_BUSYO_CD","移管先_担当_経理_部署_コード","BUSYO_CD","部署コード","X","5","0","","","","base08","2008/12/05 13:47:41","wt02","2009/10/30 11:37:11"
"IKKATU_COMMENT","一括_コメント","","","N","100","0","","","","fsol10","2011/01/11 20:35:43","fsol10","2011/01/11 20:35:43"
"IKKATU_HURIKOMI_SINSEI_NO","一括_振込_申請_番号","","","X","16","0","","","","fsol10","2010/12/20 13:40:14","fsol10","2010/12/20 13:40:14"
"IKKATU_SYUKIN_KIN12","一括_集金_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"IKKATU_UPDATE","一括_更新","","","F","0","0","","","","lpa04","2009/10/06 14:51:09","lpa04","2009/10/06 14:51:09"
"IKKATU_UPDATE_KBN","一括_更新_区分","","","X","1","0","","","","lpa04","2009/10/06 14:52:24","lpa04","2009/10/06 14:52:24"
"IKKATU_ZYURYOU_KBN","一括_受領_区分","","","X","1","0","","","","lpa02","2008/05/30 17:06:51","lpa02","2008/05/30 17:06:51"
"IN","入力","","","F","0","0","","","","fsol05","2009/04/13 16:23:31","fsol05","2009/04/13 16:23:31"
"IN_BUSYO_CD","入力_部署_コード","","","X","5","0","","","大同薬品工業
","fsol20","2009/02/09 14:59:48","fsol20","2009/02/09 14:59:48"
"IN_BUSYO_NM","入力_部署_名称","","","N","20","0","","","大同薬品工業","fsol20","2009/02/09 15:00:24","fsol20","2009/02/28 16:41:46"
"IN_KAISYA_CD","入力_会社_コード","","","X","4","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"IN_KAKUTEI","入力_確定","","","9","1","0","","","","sis05","2008/06/30 18:32:51","sis05","2008/06/30 18:32:51"
"IN_KBN","入力_区分","","","X","1","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/18 22:13:18"
"IN_MOTO_KBN","入力_元_区分","","","X","1","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"IN_NIPPOU","入力_日報","","","N","8","0","","","","fsol05","2010/10/07 19:23:41","fsol10","2010/12/01 18:57:40"
"IN_NIPPOU_KBN","入力_日報_区分","","","X","1","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"IN_NIPPOU_KBN_NM","入力_日報_区分_名称","","","N","8","0","","","","fsol10","2010/12/28 11:35:03","fsol10","2010/12/28 11:35:03"
"IN_TANTOU_SYAIN_CD","入力_担当_社員_コード","","","X","7","0","","","大同薬品工業","fsol20","2009/02/09 14:39:53","fsol20","2009/02/09 14:39:53"
"IN_TANTOU_SYAIN_NM","入力_担当_社員_名称","","","N","30","0","","","大同薬品工業","fsol20","2009/02/09 14:42:10","fsol20","2009/02/21 11:15:53"
"IN_ZYOUKYOU","入力_状況","","","X","1","0","","","","sis05","2008/07/01 10:05:56","base00","2008/08/27 14:21:07"
"INVOICE_NO","インボイス_番号","","","X","10","0","","","","fsol07","2011/02/09 19:25:46","fsol07","2011/02/09 19:25:46"
"IRAI_BI","依頼_日","","","X","8","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IRAI_KBN_KYUZITU_TAIOU","依頼_区分_休日_対応","","","X","1","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IRAI_KBN_SYURI_SUMI","依頼_区分_修理_済","","","X","1","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IRAISYO_MEI_NO","依頼書_明細_番号","","","9","6","0","","","","fsol05","2009/04/02 18:42:54","fsol05","2009/04/02 18:42:54"
"IRAISYO_NO","依頼書_番号","","","X","11","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IRISU","入数","","","9","2","0","","","","sis01","2008/04/25 12:14:28","sis01","2008/04/25 12:14:28"
"IRISU_TANI","入数_単位","","","X","2","0","","","","sis01","2008/04/25 12:14:28","sis01","2008/04/25 12:14:28"
"ITEM_1","項目_１","","","N","40","0","","","","fsol09","2008/05/29 19:36:05","fsol09","2008/05/29 19:36:05"
"ITEM_2","項目_２","","","N","40","0","","","","fsol09","2008/05/29 19:36:21","fsol09","2008/05/29 19:36:21"
"ITEM_COMMENT","項目_コメント","","","N","60","0","","","","fsol05","2008/07/03 15:15:51","fsol05","2008/07/03 15:16:18"
"ITEM_KBN","アイテム_区分","","","X","1","0","","","","sis01","2008/04/25 12:14:22","sis01","2008/04/25 12:14:22"
"ITEM_NM","項目_名称","","","N","30","0","","","","fsol05","2008/07/03 15:14:50","wt02","2008/11/19 10:21:13"
"ITEM_SORT","項目_順番","","","9","3","0","","","","fsol05","2008/07/03 15:13:54","fsol05","2008/07/03 15:13:54"
"ITEM_SYUYAKU_KBN","項目_集約_区分","","","X","1","0","","","","fsol05","2010/10/07 19:23:40","fsol05","2010/10/07 19:23:40"
"ITF_CD","ＩＴＦ_コード","","","X","16","0","","","","sis01","2008/04/25 12:14:22","sis01","2008/04/25 12:14:22"
"ITINENTYO_KBN","一年超_区分","","","X","1","0","","","","base01","2008/11/14 11:03:40","base00","2009/01/09 20:42:16"
"ITIZI_AZUKARI_HENKYAKU_KBN","一時_預り_返却_区分","","","X","1","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"ITIZI_AZUKARI_KBN","一時_預り_区分","","","X","1","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"IZYOU_KBN","異常_区分","","","X","1","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"IZYOU_RIYU","異常_理由","","","N","16","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"JAN_CD","ＪＡＮ_コード","JAN_CD","JANコード","X","13","0","","","","fsol10","2009/01/27 19:09:37","wt02","2009/11/18 17:34:19"
"JWNET_KANYU_SYA_CD","ＪＷＮＥＴ_加入_者_コード","","","X","7","0","","","","fsol05","2009/03/19 15:26:15","fsol05","2009/03/19 15:26:15"
"KABUSOKU_GENKIN_KIN12","過不足_現金_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"KABUSOKU_GENKIN_KIN12_GOUKEI","過不足_現金_金額12_合計","","","9","12","0","","","","fsol10","2011/01/11 16:28:06","fsol10","2011/01/11 16:28:06"
"KABUSOKU_GOUKEI_KIN12","過不足_合計_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"KABUSOKU_HASSEI_BI","過不足_発生_日","","","X","8","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"KABUSOKU_KIN12","過不足_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"KABUSOKU_KOGITTE_KIN12","過不足_小切手_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"KABUSOKU_KOGITTE_KIN12_GOUKEI","過不足_小切手_金額12_合計","","","9","12","0","","","","fsol10","2011/01/11 16:29:30","fsol10","2011/01/11 16:29:30"
"KABUSOKU_KOGITTE_MAISU","過不足_小切手_枚数","","","9","3","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"KABUSOKU_KOGITTE_MAISU_GOUKEI","過不足_小切手_枚数_合計","","","9","3","0","","","","fsol10","2011/01/11 16:28:43","fsol10","2011/01/11 16:28:43"
"KADOU_KBN","稼働_区分","","","X","1","0","","","","sis01","2008/04/25 12:14:24","sis01","2008/04/25 12:14:24"
"KAGI_HIKITORI_RYOUKIN","カギ_引取_料金","","","9","8","0","","","","fsol05","2009/03/19 15:26:15","fsol05","2009/03/19 15:26:15"
"KAGI_SYOZAITI_ETC_NM","カギ_所在地_その他_名称","","","N","40","0","","","","fsol05","2009/03/19 15:26:15","fsol05","2009/03/19 15:26:15"
"KAGI_SYOZAITI_KBN","カギ_所在地_区分","","","X","1","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"KAI_TYOUAI_SAKI_CD","下位_帳合_先_コード","","","X","10","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/18 22:13:18"
"KAI_TYOUAI_SAKI_NM","下位_帳合_先_名称","","","N","80","0","","","","fsol12","2011/03/04 18:22:32","fsol12","2011/03/04 18:22:32"
"KAIKEI_BUKKEN_NO","会計_物件_番号","","","X","15","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"KAIKEI_DENPYOU_BI","会計_伝票_日","","","X","8","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"KAIKEI_DENPYOU_HIDUKE","会計_伝票_日付","","","X","8","0","","","大同薬品工業","fsol20","2009/02/03 15:22:54","fsol20","2009/03/12 19:24:58"
"KAIKEI_DENPYOU_NO","会計_伝票_番号","","","X","8","0","","","大同薬品工業","fsol20","2009/02/20 22:49:58","fsol20","2009/02/20 22:49:58"
"KAIKEI_RENKEI_KANOU_KBN","会計_連携_可能_区分","","","X","1","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/18 22:13:18"
"KAIKEI_RENKEI_YOU_SEQNO","会計_連携_用_シーケンスＮＯ","","","X","10","0","","","","base08","2008/12/05 16:31:46","base08","2008/12/05 16:31:46"
"KAIKEI_SIHA_ZISSEKI_RENKEI_KBN","会計_支払_実績_連携_区分","","","X","2","0","","","","sis05","2008/07/07 16:29:44","sis05","2008/07/08 11:42:37"
"KAIKEI_TORIKOMI_KBN","会計_取込_区分","","","X","1","0","","","","fsol05","2008/08/29 13:49:49","fsol05","2008/08/29 13:49:49"
"KAIKEI_YOU_SINSEI_NO","会計_用_申請_番号","","","X","15","0","","","","sis05","2008/07/08 14:12:01","sis05","2008/07/08 14:12:01"
"KAISOU_ROUTE_SORT","回送_ルート_順番","","","9","2","0","","","","fsol10","2008/04/23 10:08:20","fsol10","2008/07/16 09:28:45"
"KAISOU_SAKI_BUSYO_CD","回送_先_部署_コード","BUSYO_CD","部署コード","X","5","0","","","","fsol10","2008/04/23 10:10:23","wt02","2009/10/30 11:38:30"
"KAISOU_SAKI_BUSYO_NM","回送_先_部署_名称","","","N","15","0","","","","fsol10","2008/04/23 10:11:04","fsol09","2008/04/24 13:23:06"
"KAISOU_SAKI_INFO","回送_先_情報","","","N","10","0","","","","wt01","2008/06/20 13:54:33","wt01","2008/06/20 13:54:33"
"KAISOU_SAKI_KBN","回送_先_区分","","","X","1","0","","","","fsol10","2008/07/16 09:19:47","fsol10","2008/07/16 09:19:47"
"KAISOU_SAKI_SITEI_KBN","回送_先_指定_区分","","","X","1","0","COD_KAISOUSITEI_KBN01","回送先指定区分01","","fsol09","2008/07/15 16:36:26","fsol09","2008/07/15 16:49:58"
"KAISOU_SIZI_KBN","回送_指示_区分","","","X","1","0","","","","fsol05","2008/06/24 14:44:25","fsol05","2008/06/24 14:44:25"
"KAISYA","会社","","","N","48","0","","","","base08","2008/12/11 11:14:43","base08","2008/12/11 11:15:15"
"KAISYA_CD","会社_コード","KAISYA_CD","会社コード","X","4","0","","","","Administrator","2008/04/16 18:20:49","wt02","2009/10/30 11:39:06"
"KAISYA_KBN","会社_区分","","","F","0","0","","","","base08","2008/12/09 17:44:08","base08","2008/12/09 17:53:37"
"KAISYA_NM","会社_名称","","","N","40","0","","","","sis01","2008/04/25 12:14:24","fsol10","2009/01/21 17:04:34"
"KAISYA_NM_RYAKU","会社_名称_略","","","N","8","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/18 22:13:18"
"KAISYA_POST_NO","会社_郵便_番号","","","X","8","0","","","","base08","2008/12/05 20:29:25","base08","2008/12/05 20:29:25"
"KAISYA_TEL_NO","会社_電話_番号","","","X","20","0","","","","base08","2008/12/05 21:14:23","base08","2008/12/05 21:14:23"
"KAISYA_ZYUSYO1","会社_住所１","","","N","40","0","","","","base08","2008/12/05 21:15:46","base08","2008/12/05 21:15:46"
"KAISYA_ZYUSYO2","会社_住所２","","","N","40","0","","","","base08","2008/12/05 21:16:21","base08","2008/12/05 21:16:21"
"KAISYA_ZYUSYO3","会社_住所３","","","N","40","0","","","","base08","2008/12/05 21:16:39","base08","2008/12/05 21:16:39"
"KAISYU_BI","回収_日","DD","日2","X","2","0","","","","lpa01","2008/05/13 10:47:09","wt02","2009/10/30 11:40:13"
"KAISYU_BI_HOSOKU","回収_日_補足","","","N","8","0","","","","lpa01","2008/05/13 11:05:25","lpa01","2008/06/11 14:08:34"
"KAISYU_CYCLE_KBN","回収_サイクル_区分","","","X","1","0","","","","lpa01","2008/05/13 10:45:55","lpa01","2008/07/17 11:21:13"
"KAISYU_CYCLE_KBN_NM","回収_サイクル_区分_名称","","","N","14","0","","","","lpa02","2008/08/21 10:43:00","lpa02","2008/08/21 10:43:00"
"KAISYU_HOUHOU_KBN","回収_方法_区分","","","X","1","0","","","","lpa01","2008/05/13 10:47:57","lpa01","2008/08/18 18:26:21"
"KAISYU_HOUHOU_KBN_NM","回収_方法_区分_名称","","","N","4","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"KAISYU_KANRI_SIME_KBN","回収_管理_締_区分","","","X","1","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"KAISYU_RUI_KINGAKU","回収_累計_金額","","","9","8","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"KAISYU_YOTEI_BI","回収_予定_日","YYYYMMDD","年月日8","X","8","0","","","","sis01","2008/04/25 12:14:24","wt02","2009/10/30 11:40:37"
