エンティティ物理名,エンティティ論理名,インデックス物理名,インデックス論理名,インデックスタイプID,エンティティ項目物理名,エンティティ項目論理名,項目順序,登録担当者,登録日付,更新担当者,更新時間
"ZV_CD_SYAIN_KENMU01","社員兼務コードビュー01","XPKZV_SYAINKENMU","XPK社員兼務ビュー","PK","BUSYO_CD","部署_コード","2","fsol05","2008/07/03 15:29:25","fsol05","2008/09/08 17:51:50"
"ZV_CD_SYAIN_KENMU01","社員兼務コードビュー01","XPKZV_SYAINKENMU","XPK社員兼務ビュー","PK","YAKU_CD","役職_コード","3","fsol05","2008/07/03 15:29:25","fsol05","2008/09/08 17:51:50"
"ZV_CD_SYAIN01","社員コードビュー01","XPKZV_SYAIN","XPK社員ビュー","PK","SYAIN_CD","社員_コード","1","fsol05","2008/07/03 15:28:59","wt02","2009/01/06 15:01:42"
"ZV_CD_YOBIDASI_NO01","呼出NOコードビュー01","XPKZV_CD_YOBIDASI_NO01","XPK呼出NOコードビュー01","PK","YOBIDASI_NO","呼出_ＮＯ","1","base01","2009/02/26 15:20:52","fsol12","2011/03/10 13:06:17"
"ZV_LOCATION_TRG","ロケーションビュー_トリガー","XPKZV_LOCATION_TRG","XPKロケーションビュー_トリガー","PK","LOCATION_CD","ロケーション_コード","1","lpa01","2008/12/19 12:39:40","lpa01","2008/12/19 12:39:40"
"ZV_REBATE_SIHA_ZKN_TRG","リベート支払条件ビュー_トリガー","XPKZV_REBATE_SIHA_ZKN_TRG","XPKリベート支払条件ビュー_トリガー","PK","LOCATION_CD","ロケーション_コード","1","lpa03","2009/01/21 17:37:27","lpa02","2009/01/23 15:33:59"
"ZV_REBATE_SIHA_ZKN_TRG","リベート支払条件ビュー_トリガー","XPKZV_REBATE_SIHA_ZKN_TRG","XPKリベート支払条件ビュー_トリガー","PK","REBATE_MEI_NO","リベート_明細_番号","2","lpa03","2009/01/21 17:37:27","lpa02","2009/01/23 15:33:59"
"ZW_BOKIN_ZIHANKI_HENKOU","募金自販機ロケ変更中間ワーク","XPKZW_BOKIN_ZIHANKI_HENKOU","XPK募金自販機ロケ変更中間テーブル","PK","CLIENT_IP","クライアント_ＩＰ","1","lpa02","2008/08/21 11:46:20","lpa02","2009/01/09 18:50:39"
"ZW_BOKIN_ZIHANKI_HENKOU","募金自販機ロケ変更中間ワーク","XPKZW_BOKIN_ZIHANKI_HENKOU","XPK募金自販機ロケ変更中間テーブル","PK","LOGIN_USER_ID","ログイン_ユーザ_ＩＤ","2","lpa01","2008/08/26 13:29:34","lpa02","2009/01/09 18:50:39"
"ZW_BOKIN_ZIHANKI_HENKOU","募金自販機ロケ変更中間ワーク","XPKZW_BOKIN_ZIHANKI_HENKOU","XPK募金自販機ロケ変更中間テーブル","PK","TYOUHYOU_OUT_NO","帳票_出力_番号","3","lpa02","2008/08/21 14:01:46","lpa02","2009/01/09 18:50:39"
"ZW_KEIYAKUSYO_SOUHU","自販機契約書送付票ワーク","XPKZW_KEIYAKUSYO_SOUHU","XPK自販機契約書送付票ワーク","PK","CLIENT_IP","クライアント_ＩＰ","1","lpa03","2009/01/21 17:38:18","fsol07","2009/03/24 18:33:33"
"ZW_KEIYAKUSYO_SOUHU","自販機契約書送付票ワーク","XPKZW_KEIYAKUSYO_SOUHU","XPK自販機契約書送付票ワーク","PK","LOGIN_USER_ID","ログイン_ユーザ_ＩＤ","2","lpa03","2009/01/21 17:38:18","fsol07","2009/03/24 18:33:33"
"ZW_KEIYAKUSYO_SOUHU","自販機契約書送付票ワーク","XPKZW_KEIYAKUSYO_SOUHU","XPK自販機契約書送付票ワーク","PK","SEQ_NO","順序_番号","3","lpa03","2009/01/21 17:38:18","fsol07","2009/03/24 18:33:33"
"ZW_KOUIKI_KIGYOU_HENKOU","広域企業ロケ変更中間ワーク","XPKZW_KOUIKIKIGYOU_HENKOU","XPK広域企業ロケ変更中間テーブル","PK","CLIENT_IP","クライアント_ＩＰ","1","lpa02","2008/08/21 12:05:00","lpa03","2008/12/04 10:35:09"
"ZW_KOUIKI_KIGYOU_HENKOU","広域企業ロケ変更中間ワーク","XPKZW_KOUIKIKIGYOU_HENKOU","XPK広域企業ロケ変更中間テーブル","PK","LOGIN_USER_ID","ログイン_ユーザ_ＩＤ","2","lpa01","2008/08/26 13:20:46","lpa03","2008/12/04 10:35:09"
"ZW_KOUIKI_KIGYOU_HENKOU","広域企業ロケ変更中間ワーク","XPKZW_KOUIKIKIGYOU_HENKOU","XPK広域企業ロケ変更中間テーブル","PK","TYOUHYOU_OUT_NO","帳票_出力_番号","3","lpa02","2008/08/25 18:25:44","lpa03","2008/12/04 10:35:09"
"ZM_BUHIN","部品マスタ","XPKZM_BUHIN","XPK部品マスタ","PK","BUHIN_CD","部品_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:47:54"
"ZM_BUHIN_TANKA","部品単価マスタ","XPKZM_BUHIN_TANKA","XPK部品単価マスタ","PK","BUHIN_CD","部品_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:48:09"
"ZM_BUHIN_TANKA","部品単価マスタ","XPKZM_BUHIN_TANKA","XPK部品単価マスタ","PK","SYURI_SEIBI_KBN","修理_整備_区分","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:48:09"
"ZM_BUHIN_TANKA","部品単価マスタ","XPKZM_BUHIN_TANKA","XPK部品単価マスタ","PK","BUHIN_SYURUI_CD","部品_種類_コード","3","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:48:09"
"ZM_CLAIM","クレームマスタ","XPKZM_CLAIM","XPKクレームマスタ","PK","CLAIM_CD","クレーム_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 15:05:47"
"ZM_GENIN","原因マスタ","XPKZM_GENIN","XPK原因マスタ","PK","GENIN_CD","原因_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:49:16"
"ZM_GYOUSYA","業者マスタ","IX_ZM_GYOUSYA01","IX_ZM_GYOUSYA01","IE","SIHA_MEISAISYO_SOUHU_SAKI_CD","支払_明細書_送付_先_コード","1","fsol05","2009/10/26 17:12:49","fsol05","2009/10/26 17:12:49"
"ZM_GYOUSYA","業者マスタ","PK_ZM_GYOUSYA","XPK業者マスタ","PK","GYOUSYA_CD","業者_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:25:24"
"ZM_GYOUSYA_BUSYO_TAIOU","業者部署対応マスタ","XPKZM_GYOUSYA_BUSYO_SYURI","XPK業者部署対応マスタ","PK","GYOUSYA_CD","業者_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:27:14"
"ZM_GYOUSYA_BUSYO_TAIOU","業者部署対応マスタ","XPKZM_GYOUSYA_BUSYO_SYURI","XPK業者部署対応マスタ","PK","BUSYO_CD","部署_コード","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:27:14"
"ZM_GYOUSYA_SIHA_TAIOU","業者支払対応マスタ","XPKZM_GYOUSYA_SIHA_SYURI","XPK業者支払対応マスタ","PK","GYOUSYA_CD","業者_コード","1","fsol05","2009/03/19 15:34:30","fsol07","2011/02/23 18:01:53"
"ZM_GYOUSYA_SIHA_TAIOU","業者支払対応マスタ","XPKZM_GYOUSYA_SIHA_SYURI","XPK業者支払対応マスタ","PK","KAISYA_CD","会社_コード","2","fsol05","2009/03/19 15:34:30","fsol07","2011/02/23 18:01:53"
"ZM_HOKEN_LMT_GAKU","保険限度額算出表マスタ","XPKZM_HOKEN_LMT_GAKU","XPK保険限度額算出表マスタ","PK","LEASE_KAISYA_CD","リース_会社_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:44:47"
"ZM_HOKEN_LMT_GAKU","保険限度額算出表マスタ","XPKZM_HOKEN_LMT_GAKU","XPK保険限度額算出表マスタ","PK","LEASE_KIKAN","リース_期間","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:44:47"
"ZM_HOKEN_LMT_GAKU","保険限度額算出表マスタ","XPKZM_HOKEN_LMT_GAKU","XPK保険限度額算出表マスタ","PK","SIHA_TUKISU","支払_月数","3","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:44:47"
"ZM_KANRIHYOU_NO_KISYU","管理票番号機種対応マスタ","XPKZM_KANRIHYOU_NO_KISYU","XPK管理票番号機種対応マスタ","PK","KANRI_HYOU_NO_START","管理_票_番号_開始","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 17:08:40"
"ZM_KANRIHYOU_NO_KISYU","管理票番号機種対応マスタ","XPKZM_KANRIHYOU_NO_KISYU","XPK管理票番号機種対応マスタ","PK","KANRI_HYOU_NO_END","管理_票_番号_終了","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 17:08:40"
"ZM_KANRIHYOU_NO_KISYU_SPC","管理票番号機種対応仕様マスタ","XPKZM_KANRIHYOU_NO_KISYU_SPC","XPK管理票番号機種対応仕様マスタ","PK","KANRI_HYOU_NO_START","管理_票_番号_開始","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 17:08:48"
"ZM_KANRIHYOU_NO_KISYU_SPC","管理票番号機種対応仕様マスタ","XPKZM_KANRIHYOU_NO_KISYU_SPC","XPK管理票番号機種対応仕様マスタ","PK","KANRI_HYOU_NO_END","管理_票_番号_終了","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 17:08:48"
"ZM_KISYU","機種マスタ","XPKZM_KISYU","XPK機種マスタ","PK","KISYU","機種","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:27:37"
"ZM_KISYU_SPEC","機種仕様マスタ","XPKZM_KISYU_SPEC","XPK機種仕様マスタ","PK","KISYU","機種","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:28:02"
"ZM_KOSYOU_KASYO","故障箇所マスタ","XPKZM_KOSYOU_KASYO","XPK故障箇所マスタ","PK","KOSYOU_KASYO_CD","故障_箇所_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:48:39"
"ZM_LEASE_KAISYA","リース会社マスタ","XPKZM_LEASE_KAISYA","XPKリース会社マスタ","PK","LEASE_KAISYA_CD","リース_会社_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:44:27"
"ZM_LOCATION_MBK","ロケーションマスタ_月次退避","XPKZM_LOCATION_MBK","XPKロケーションマスタ_月次退避","PK","LOCATION_CD","ロケーション_コード","1","fsol05","2009/03/19 15:34:30","fsol05","2010/04/06 15:59:01"
"ZM_SAGYOU_KAKAKU","作業価格マスタ","XPKZM_SAGYOU_KAKAKU","XPK作業価格マスタ","PK","BUSYO_CD","部署_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:28:28"
"ZM_SAGYOU_KAKAKU","作業価格マスタ","XPKZM_SAGYOU_KAKAKU","XPK作業価格マスタ","PK","GYOUSYA_CD","業者_コード","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:28:28"
"ZM_SAGYOU_KAKAKU","作業価格マスタ","XPKZM_SAGYOU_KAKAKU","XPK作業価格マスタ","PK","SETTI_TEHAI_KBN","設置_手配_区分","3","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:28:28"
"ZM_SAGYOU_KAKAKU","作業価格マスタ","XPKZM_SAGYOU_KAKAKU","XPK作業価格マスタ","PK","MEI_NO","明細_番号","4","fsol05","2009/05/15 17:56:59","fsol14","2009/12/11 11:28:28"
"ZM_SPEC_NM","仕様名称マスタ","XPKZM_SPEC_NM","XPK仕様名称マスタ","PK","SPEC_ITEM_NO","仕様_項目_番号","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:29:01"
"ZM_SPEC_NM","仕様名称マスタ","XPKZM_SPEC_NM","XPK仕様名称マスタ","PK","SPEC_NAIYOU_CD","仕様_内容_コード","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:29:01"
"ZM_SYURI_KINGAKU","修理金額マスタ","XPKZM_SYURI_KINGAKU","XPK修理金額マスタ","PK","KOSYOU_KASYO_CD","故障_箇所_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:48:58"
"ZM_SYURI_KINGAKU","修理金額マスタ","XPKZM_SYURI_KINGAKU","XPK修理金額マスタ","PK","SYURI_NAIYOU_CD","修理_内容_コード","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:48:58"
"ZM_TC","TCマスタ","XPKZM_TC","XPKTCマスタ","PK","GYOUSYA_CD","業者_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:45:10"
"ZM_TC_KANRI_TESURYOU","TC管理手数料マスタ","XPKZM_TC_KANRI_TESURYOU","XPKTC管理手数料マスタ","PK","GYOUSYA_CD","業者_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:46:07"
"ZM_TC_KANRI_TESURYOU","TC管理手数料マスタ","XPKZM_TC_KANRI_TESURYOU","XPKTC管理手数料マスタ","PK","TC_SAGYOU_KAISYA_CD","ＴＣ_作業_会社_コード","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:46:07"
"ZM_TC_KANRI_TESURYOU","TC管理手数料マスタ","XPKZM_TC_KANRI_TESURYOU","XPKTC管理手数料マスタ","PK","TC_SEIKYUSYO_KBN","ＴＣ_請求書_区分","3","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:46:07"
"ZM_TC_SAGYOU_KAISYA","TC作業会社マスタ","XPKZM_TC_SAGYOU_KAISYA","XPKTC作業会社マスタ","PK","GYOUSYA_CD","業者_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:45:28"
"ZM_TC_SAGYOU_KAISYA","TC作業会社マスタ","XPKZM_TC_SAGYOU_KAISYA","XPKTC作業会社マスタ","PK","TC_SAGYOU_KAISYA_CD","ＴＣ_作業_会社_コード","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:45:28"
"ZM_TC_SAGYOU_MEISAI","TC作業明細マスタ","XPKZM_TC_SAGYOU_MEISAI","XPKTC作業明細マスタ","PK","GYOUSYA_CD","業者_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:46:27"
"ZM_TC_SAGYOU_MEISAI","TC作業明細マスタ","XPKZM_TC_SAGYOU_MEISAI","XPKTC作業明細マスタ","PK","TC_SAGYOU_MEI_CD","ＴＣ_作業_明細_コード","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:46:27"
"ZM_TC_SAGYOU_TANTOUSYA","TC作業担当者マスタ","XPKZM_TC_SAGYOU_TANTOUSYA","XPKTC作業担当者マスタ","PK","GYOUSYA_CD","業者_コード","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:45:44"
"ZM_TC_SAGYOU_TANTOUSYA","TC作業担当者マスタ","XPKZM_TC_SAGYOU_TANTOUSYA","XPKTC作業担当者マスタ","PK","TC_SAGYOU_KAISYA_CD","ＴＣ_作業_会社_コード","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:45:44"
"ZM_TC_SAGYOU_TANTOUSYA","TC作業担当者マスタ","XPKZM_TC_SAGYOU_TANTOUSYA","XPKTC作業担当者マスタ","PK","TC_SAGYOU_TANTOU_CD","ＴＣ_作業_担当_コード","3","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:45:44"
"ZM_ZIHANKI_KANRIHYOU","自販機管理票マスタ","PK_ZM_ZIHANKI_KANRIHYOU","XPK自販機管理票マスタ","PK","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:30:45"
"ZM_ZIHANKI_KANRIHYOU","自販機管理票マスタ","IX_ZM_ZIHANKI_KANRIHYOU01","IX_ZM_ZIHANKI_KANRIHYOU01","IE","HONTAI_SIHA_YM","本体_支払_年月","1","fsol05","2009/10/20 10:45:03","fsol05","2009/10/20 10:45:03"
"ZM_ZIHANKI_KANRIHYOU","自販機管理票マスタ","IX_ZM_ZIHANKI_KANRIHYOU01","IX_ZM_ZIHANKI_KANRIHYOU01","IE","TYOUAI_KBN","帳合_区分","2","fsol05","2009/10/20 10:45:04","fsol05","2009/10/20 10:45:04"
"ZM_ZIHANKI_KANRIHYOU","自販機管理票マスタ","IX_ZM_ZIHANKI_KANRIHYOU02","IX_ZM_ZIHANKI_KANRIHYOU02","IE","KIBAN","機番","1","fsol05","2009/11/04 20:36:42","fsol05","2009/11/04 20:36:42"
"ZM_ZIHANKI_KANRIHYOU_MBK","自販機管理票マスタ_月次退避","XPKZM_ZIHANKI_KANRIHYOU_MBK","XPK自販機管理票マスタ_月次退避","PK","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/03/19 15:34:30","fsol05","2010/04/06 15:55:27"
"ZM_ZIHANKI_LEASE","自販機リースマスタ","XPKZM_ZIHANKI_LEASE","XPK自販機リースマスタ","PK","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:31:44"
"ZM_ZIHANKI_LEASE_MBK","自販機リースマスタ_月次退避","XPKZM_ZIHANKI_LEASE_MBK","XPK自販機リースマスタ_月次退避","PK","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/03/19 15:34:30","fsol05","2010/04/06 15:53:11"
"ZM_ZIHANKI_SETTI_SAKI","自販機設置先情報マスタ","PK_ZM_ZIHANKI_SETTI_SAKI","XPK自販機設置先情報マスタ","PK","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:32:15"
"ZM_ZIHANKI_SETTI_SAKI","自販機設置先情報マスタ","IX_ZM_ZIHANKI_SETTI_SAKI01","IX_ZM_ZIHANKI_SETTI_SAKI01","IE","LOCATION_CD","ロケーション_コード","1","fsol05","2009/06/12 14:51:16","fsol05","2009/06/12 14:51:16"
"ZM_ZIHANKI_SETTI_SAKI","自販機設置先情報マスタ","IX_ZM_ZIHANKI_SETTI_SAKI02","IX_ZM_ZIHANKI_SETTI_SAKI02","IE","KANRI_BUSYO_CD","管理_部署_コード","1","fsol05","2009/08/01 14:49:29","fsol05","2009/08/01 14:49:29"
"ZM_ZIHANKI_SETTI_SAKI","自販機設置先情報マスタ","IX_ZM_ZIHANKI_SETTI_SAKI03","IX_ZM_ZIHANKI_SETTI_SAKI03","IE","TOK_CD","得意先_コード","1","fsol05","2009/08/01 14:50:11","fsol05","2009/08/01 14:50:11"
"ZM_ZIHANKI_SETTI_SAKI_MBK","自販機設置先情報マスタ_月次退避","IX_ZM_ZIHANKI_SETTI_SAKI_MBK01","IX_ZM_ZIHANKI_SETTI_SAKI_MBK01","IE","KANRI_BUSYO_CD","管理_部署_コード","1","fsol05","2009/11/17 17:22:24","fsol05","2009/11/17 17:22:24"
"ZM_ZIHANKI_SETTI_SAKI_MBK","自販機設置先情報マスタ_月次退避","PK_ZM_ZIHANKI_SETTI_SAKI_MBK","XPK自販機設置先情報マスタ_月次退避","PK","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/03/19 15:34:30","fsol05","2010/04/06 15:54:31"
"ZM_ZIHANKI_SPEC","自販機仕様マスタ","XPKZM_ZIHANKI_SPEC","XPK自販機仕様マスタ","PK","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:31:19"
"ZM_ZIHANKI_SPEC_MBK","自販機仕様マスタ_月次退避","XPKZM_ZIHANKI_SPEC_MBK","XPK自販機仕様マスタ_月次退避","PK","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/03/19 15:34:30","fsol05","2010/04/06 15:53:50"
"ZM_ZIHANKI_TEHAI","自販機手配情報マスタ","XPKZM_ZIHANKI_TEHAI","XPK自販機手配情報マスタ","PK","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:32:47"
"ZM_ZIHANKI_TEHAI_MBK","自販機手配情報マスタ_月次退避","XPKZM_ZIHANKI_TEHAI_MBK","XPK自販機手配情報マスタ_月次退避","PK","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/03/19 15:34:30","fsol05","2010/04/06 15:58:24"
"ZM_ZYUKI","什器マスタ","IX_ZM_ZYUKI01","IX_ZM_ZYUKI01","IE","HONTAI_SIHA_YM","本体_支払_年月","1","fsol05","2009/10/27 21:33:16","fsol05","2009/10/27 21:33:16"
"ZM_ZYUKI","什器マスタ","IX_ZM_ZYUKI01","IX_ZM_ZYUKI01","IE","TYOUAI_KBN","帳合_区分","2","fsol05","2009/10/27 21:33:16","fsol05","2009/10/27 21:33:16"
"ZM_ZYUKI","什器マスタ","PK_ZM_ZYUKI","XPK什器マスタ","PK","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/03/19 15:34:30","fsol05","2009/12/11 18:43:46"
"ZM_ZYUKI_MBK","什器マスタ_月次退避","XPKZM_ZYUKI_MBK","XPK什器マスタ_月次退避","PK","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/03/19 15:34:30","fsol05","2009/12/11 18:44:00"
"ZT_BUHIN_HIS","部品履歴データ","XPK1ZT_BUHIN_HIS","XPK1部品履歴データ","PK","GYOUSYA_CD","業者_コード","1","fsol05","2009/08/01 17:39:55","fsol14","2009/12/11 13:18:04"
"ZT_BUHIN_HIS","部品履歴データ","XPK1ZT_BUHIN_HIS","XPK1部品履歴データ","PK","BUHIN_CD","部品_コード","2","fsol05","2009/08/01 17:39:55","fsol14","2009/12/11 13:18:04"
"ZT_BUHIN_TANKA_HIS","部品単価履歴データ","XPK1ZT_BUHIN_TANKA_HIS","XPK1部品単価履歴データ","PK","GYOUSYA_CD","業者_コード","1","fsol05","2009/08/01 17:40:12","fsol14","2009/12/11 13:18:22"
"ZT_BUHIN_TANKA_HIS","部品単価履歴データ","XPK1ZT_BUHIN_TANKA_HIS","XPK1部品単価履歴データ","PK","BUHIN_CD","部品_コード","2","fsol05","2009/08/01 17:40:12","fsol14","2009/12/11 13:18:22"
"ZT_BUHIN_TANKA_HIS","部品単価履歴データ","XPK1ZT_BUHIN_TANKA_HIS","XPK1部品単価履歴データ","PK","SYURI_SEIBI_KBN","修理_整備_区分","3","fsol05","2009/08/01 17:40:12","fsol14","2009/12/11 13:18:22"
"ZT_BUHIN_TANKA_HIS","部品単価履歴データ","XPK1ZT_BUHIN_TANKA_HIS","XPK1部品単価履歴データ","PK","BUHIN_SYURUI_CD","部品_種類_コード","4","fsol05","2009/08/01 17:40:12","fsol14","2009/12/11 13:18:22"
"ZT_CLAIM_TAIOU","クレーム対応データ","XPKZT_CLAIM_TAIOU","XPKクレーム対応データ","PK","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 14:15:59"
"ZT_HAIKI_SIHA_HED","廃棄支払データ_ヘッダ","IX_ZT_HAIKI_SIHA_HED01","IX_ZT_HAIKI_SIHA_HED01","IE","BUSYO_CD","部署_コード","1","fsol05","2009/10/26 18:47:02","fsol05","2009/10/26 18:47:02"
"ZT_HAIKI_SIHA_HED","廃棄支払データ_ヘッダ","IX_ZT_HAIKI_SIHA_HED01","IX_ZT_HAIKI_SIHA_HED01","IE","SIME_YMD","締_年月日","2","fsol05","2009/10/26 18:47:02","fsol05","2009/10/26 18:47:02"
"ZT_HAIKI_SIHA_HED","廃棄支払データ_ヘッダ","PK_ZT_HAIKI_SIHA_HED","XPK廃棄支払データ_ヘッダ","PK","SIHA_NO","支払_番号","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 13:57:21"
"ZT_HAIKI_SIHA_MEI","廃棄支払データ_明細","XPKZT_HAIKI_SIHA_MEI","XPK廃棄支払データ_明細","PK","SIHA_NO","支払_番号","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 17:10:57"
"ZT_HAIKI_SIHA_MEI","廃棄支払データ_明細","XPKZT_HAIKI_SIHA_MEI","XPK廃棄支払データ_明細","PK","MEI_NO","明細_番号","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 17:10:57"
"ZT_HONTAI_SIHA_HED","本体支払データ_ヘッダ","PK_ZT_HONTAI_SIHA_HED","XPK本体支払データ_ヘッダ","PK","SIHA_NO","支払_番号","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 13:58:12"
"ZT_HONTAI_SIHA_HED","本体支払データ_ヘッダ","IX_ZT_HONTAI_SIHA_HED01","IX_ZT_HONTAI_SIHA_HED01","IE","BUSYO_CD","部署_コード","1","fsol05","2009/10/26 18:47:49","fsol05","2009/10/26 18:47:49"
"ZT_HONTAI_SIHA_HED","本体支払データ_ヘッダ","IX_ZT_HONTAI_SIHA_HED01","IX_ZT_HONTAI_SIHA_HED01","IE","SIME_YMD","締_年月日","2","fsol05","2009/10/26 18:47:49","fsol05","2009/10/26 18:47:49"
"ZT_HONTAI_SIHA_MEI","本体支払データ_明細","PK_ZT_HONTAI_SIHA_MEI","XPK本体支払データ_明細","PK","SIHA_NO","支払_番号","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 13:58:35"
"ZT_HONTAI_SIHA_MEI","本体支払データ_明細","PK_ZT_HONTAI_SIHA_MEI","XPK本体支払データ_明細","PK","MEI_NO","明細_番号","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 13:58:35"
"ZT_HONTAI_SIHA_MEI","本体支払データ_明細","IX_ZT_HONTAI_SIHA_MEI01","IX_ZT_HONTAI_SIHA_MEI01","IE","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/10/30 18:27:08","fsol05","2009/10/30 18:27:08"
"ZT_KEIYAKU_IKKATU","契約一括入力データ","XPKZT_KEIYAKU_IKKATU","XPK契約一括入力データ","PK","KEIYAKUSYO_NO","契約書_番号","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 13:16:36"
"ZT_KEIYAKUSYO_SOUHU_ZK","自販機契約書送付票（自販機契約）テーブル","PK_ZT_KEIYAKUSYO_SOUHU_ZK","XPK自販機契約書送付票（自販機契約）テーブル","PK","SEQ_NO","順序_番号","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 11:55:42"
"ZT_KEIYAKUSYO_SOUHU_ZK","自販機契約書送付票（自販機契約）テーブル","IX_ZT_KEIYAKUSYO_SOUHU_ZK01","IX_ZT_KEIYAKUSYO_SOUHU_ZK01","IE","TOK_CD","得意先_コード","1","fsol05","2009/10/21 18:22:13","fsol05","2009/10/21 18:22:13"
"ZT_KEIYAKUSYO_SOUHU_ZK","自販機契約書送付票（自販機契約）テーブル","IX_ZT_KEIYAKUSYO_SOUHU_ZK02","IX_ZT_KEIYAKUSYO_SOUHU_ZK02","IE","KANRI_HYOU_NO","管理_票_番号","1","fsol05","2009/10/30 17:44:51","fsol05","2009/10/30 17:44:51"
"ZT_KISYU_BUHIN_HIS","機種部品履歴データ","XPKZT_KISYU_BUHIN_HIS","XPK機種部品履歴データ","PK","KISYU","機種","1","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 13:18:37"
"ZT_KISYU_BUHIN_HIS","機種部品履歴データ","XPKZT_KISYU_BUHIN_HIS","XPK機種部品履歴データ","PK","SYURI_SEIBI_KBN","修理_整備_区分","2","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 13:18:37"
"ZT_KISYU_BUHIN_HIS","機種部品履歴データ","XPKZT_KISYU_BUHIN_HIS","XPK機種部品履歴データ","PK","BUHIN_CD","部品_コード","3","fsol05","2009/03/19 15:34:30","fsol14","2009/12/11 13:18:37"
