メッセージID,メッセージタイプID,メッセージ,登録担当者,登録日付,更新担当者,更新時間
"E066","3","売上金額、本数の合計が売上報告入力画面と異なります。売上報告入力画面の売上金額、本数を書き換えますか？","base01","2008/11/05 13:15:50","base01","2008/12/22 13:00:40"
"E067","3","%1処理でエラーが発生しました。エラー内容「%2」","base01","2008/11/05 14:40:28","base01","2008/11/05 14:40:28"
"E068","3","ロケーション[%1]の売価詳細を入力してください。","base01","2008/11/06 11:40:28","base01","2008/12/22 13:14:35"
"E069","3","ロケーション[%1]の現金売上、請求金額に同じ金額を入力してください。","base01","2008/11/06 11:41:03","base01","2008/12/22 13:14:16"
"E070","3","支払期限を過ぎているため申請できません。","base01","2008/11/10 19:27:45","base01","2008/11/10 19:27:45"
"E071","3","取消伝票のため、取消起票できません。","base01","2008/11/10 19:40:23","base01","2008/11/10 19:40:23"
"E072","3","既に%1のため、取消起票できません。","base01","2008/11/10 19:41:37","base00","2008/12/08 15:53:52"
"E073","3","会計締日（%1）以前の伝票は申請できません。","base01","2008/11/11 13:55:59","base00","2008/12/09 22:36:07"
"E074","3","指定した会社、種別の口座が既に登録されているため、新規登録できません。","base00","2008/12/09 11:59:20","base00","2008/12/09 12:58:45"
"E075","3","指定した締日の%1は既に申請済のため、申請できません。","base01","2008/11/11 16:00:28","base00","2008/12/08 13:27:24"
"E076","3","Ｇ１未決裁の営業所が存在するため、申請できません。","base01","2008/11/11 16:13:14","base00","2008/12/08 15:54:19"
"E077","3","回送順は%1件以内で設定してください。","fsol10","2008/11/11 16:50:29","fsol10","2008/11/11 16:50:29"
"E078","3","JOBカレンダ連携が異常終了しました。OperationMGRカレンダを確認してください。","fsol09","2008/11/14 17:16:12","fsol09","2008/11/14 17:16:12"
"E079","3","「%1」にシステム処理日より[%2]ヶ月以内の日付を入力してください。","base01","2008/11/17 11:27:31","base01","2008/12/08 10:16:46"
"E080","3","一年超欄を選択した場合、削除欄を選択してください。","base01","2008/11/17 11:30:54","base01","2008/11/17 11:30:54"
"E081","3","「%1」は他部署の得意先コードです。","base02","2008/11/26 11:49:56","base02","2008/11/26 11:49:56"
"E082","3","「%1」に未来日は入力できません。","base02","2008/11/26 11:50:51","base01","2009/03/25 11:23:03"
"E083","3","「締日」には前回締処理日（%1）より未来の日付を入力してください。","base02","2008/11/26 11:52:59","fsol05","2011/01/11 21:56:48"
"E084","3","%1 日の未締データが存在するため、「締日」にそれより未来の日付を入力してください。","base02","2008/11/26 11:54:13","base02","2008/11/26 11:54:13"
"E085","3","同一の締日／ロケーション／摘要を持つ代行データが存在します。","base02","2008/11/26 11:55:28","base02","2008/11/26 11:55:28"
"E086","3","得意先「%1」／締日（%2）に該当するデータは締処理済です。","base02","2008/11/26 11:55:53","base01","2009/02/19 17:52:29"
"E087","3","「%1」の[%2]を選択した場合は、%3のいずれかを入力してください。","base00","2008/12/09 19:38:37","base00","2009/04/07 21:56:19"
"E088","3","申請中の伝票があるため、締日変更できません。エラー情報を確認してください。","base02","2008/11/28 22:27:05","base00","2008/12/12 15:29:27"
"E089","3","「%1」を入力して下さい。","base01","2008/12/01 11:15:24","base01","2009/03/05 14:54:51"
"E090","3","%1の「%2」を入力して下さい。","lpa01","2008/12/03 13:49:46","lpa01","2008/12/03 13:49:46"
"E091","3","%1の場合、%2は指定できません。","lpa01","2008/12/03 13:50:51","lpa01","2008/12/03 13:50:51"
"E092","3","%1が存在しません。","base01","2008/12/03 15:28:49","base01","2008/12/09 20:29:32"
"E093","3","「%1」は「%2」から「%3」までの数字を入力してください。","base00","2008/12/09 19:39:26","base00","2008/12/09 19:39:26"
"E094","3","仕訳実行済のため、再度%1できません。","base01","2008/12/08 13:55:16","base01","2008/12/08 13:55:16"
"E095","3","処理区分[%1]の場合、[%2]できません。","base01","2008/12/08 13:55:42","base01","2009/03/25 11:26:42"
"E096","3","「%1」に「%2」以降の日付を入力してください。","base01","2008/12/08 13:56:32","base00","2008/12/11 17:57:45"
"E097","3","「%1」に「%2」を入力できません。","base01","2008/12/08 13:57:09","base00","2008/12/11 18:02:31"
"E098","3","処理区分[%1]の場合、メイン口座を選択してください。","base01","2008/12/08 13:57:39","base01","2008/12/08 13:57:39"
"E099","3","%1のため、変更できません。","base00","2008/12/09 22:41:17","base08","2009/04/06 16:26:26"
"E100","3","%1のため、申請できません。申請番号:%2","base08","2008/12/12 11:40:08","base08","2009/04/06 16:26:45"
"E101","3","指定した締日、支払先の%1は既に申請済のため、申請できません。","base08","2008/12/15 11:52:53","base08","2008/12/15 11:52:53"
"E102","3","取引条件マスタに設定されている納品・請求時定率値引のFROM～TO範囲内にて値を指定して下さい。","lpa01","2008/12/16 16:12:56","lpa01","2008/12/16 16:12:56"
"E103","3","郵便番号データファイルのロードに失敗しました。「%1」","fsol09","2008/12/16 19:33:47","fsol09","2008/12/18 21:14:09"
"E104","3","「%1」は有効な部署コードではありません。","fsol10","2008/12/19 10:38:46","fsol10","2008/12/19 10:38:46"
"E105","3","他の部署の部署グループに設定されているため、削除できません。","fsol10","2008/12/19 10:39:30","fsol10","2008/12/19 10:39:30"
"E106","3","「%1」と「%2」の組合せが正しくありません。","fsol10","2008/12/19 10:45:19","fsol10","2008/12/19 10:45:19"
"E107","3","郵便番号マスタ登録が異常終了しました。「%1」","fsol09","2008/12/19 16:19:42","fsol09","2009/03/15 22:41:39"
"E108","3","郵便番号「%1」が重複しています。","fsol09","2008/12/19 16:24:03","fsol09","2008/12/19 16:24:03"
"E109","3","郵便番号「%1」が特殊郵便番号範囲に含まれています。","fsol09","2008/12/19 18:07:35","fsol09","2008/12/19 19:30:51"
"E110","3","地区コード「%1」が特殊地区コード範囲に含まれています。","fsol09","2008/12/19 17:26:44","fsol09","2008/12/19 19:29:44"
"E111","3","住所１「%1」の地区コードが異なります。","fsol09","2008/12/19 16:35:46","fsol09","2009/03/27 20:04:17"
"E112","3","地区コード「%1」の住所１が異なります。","fsol09","2008/12/19 18:18:38","fsol09","2009/03/27 20:03:47"
"E113","3","「%1」または「%2」は設定できません。","fsol14","2008/12/19 19:19:57","fsol14","2008/12/19 19:19:57"
"E114","3","%1が可能な%2ではありません。","lpa02","2009/01/05 11:05:55","lpa02","2009/01/05 11:05:55"
"E115","3","%1と%2が違います。","lpa02","2009/01/05 11:06:48","lpa02","2009/01/05 11:06:48"
"E116","3","「%1」の[%2]を選択した場合は「%3」を必ず入力して下さい。","lpa01","2009/01/13 10:34:39","lpa01","2009/01/13 10:34:39"
"E117","3","「%1」に[%2]は指定できません。","lpa01","2009/01/13 10:53:10","lpa01","2009/01/13 10:53:10"
"E118","3","%1に相違があります。%2を確認して下さい。","lpa01","2009/01/13 10:53:34","lpa01","2009/01/13 10:53:34"
"E119","3","「定額」、「最低保障」両方とも0円の場合、「調整金額」に0円以外の金額を入力できません。","base00","2009/01/21 22:38:49","base00","2009/01/21 22:38:49"
"E120","3","更新対象レコードがありません。","fsol10","2009/01/25 17:32:20","fsol10","2009/01/25 17:32:20"
"E121","3","指定した会社、種別の口座が登録されていないため、「%1」できません。","base08","2009/01/26 15:28:05","base08","2009/01/26 15:28:19"
"E122","3","%1の場合、「%2」に[%3]は指定できません。","base00","2009/01/30 17:05:22","base00","2009/01/30 17:05:22"
"E123","3","%1ため、取戻できません。","base01","2009/02/04 14:17:22","base11","2009/02/27 11:35:12"
"E124","3","「%1」に入力した[%2]は使用できません。","fsol20","2009/02/10 09:05:39","fsol20","2009/02/10 09:10:22"
"E125","3","この支払先への入力開始日は到来していないため納品書入力できません。","fsol20","2009/02/10 09:06:04","fsol20","2009/02/10 09:08:29"
"E126","3","同一伝票内に支払区分とそれ以外の区分を混在させることはできません。","fsol20","2009/02/10 09:06:30","fsol20","2009/02/10 09:06:30"
"E127","3","「%1」≦「%2」となるように入力してください。","fsol20","2009/02/10 09:07:17","fsol20","2009/02/10 09:28:01"
"E128","3","[%1]より未来の日付は入力できません。","fsol20","2009/02/10 09:07:39","fsol20","2009/02/10 09:12:33"
"E129","3","会計締日（%1）以前の「伝票日」を入力できません。","base01","2009/02/12 20:39:17","base01","2009/02/12 20:39:17"
"E130","3","ロケーション[%1]の手入力手数料を入力してください。","base01","2009/02/19 14:04:00","base01","2009/02/19 14:04:00"
"E131","3","ロケーション[%1]の売上金額、本数が売価詳細入力画面と異なります。ご確認ください。","base01","2009/02/19 15:43:25","base01","2009/02/24 18:53:41"
"E132","3","確定の状態が変わりますから、先に保存してください。","base01","2009/02/23 10:44:30","base01","2009/02/23 10:44:30"
"E133","3","抽出データが複数件存在します。条件で絞り込んで下さい。","fsol20","2009/02/23 21:45:46","fsol20","2009/02/23 21:48:04"
"E134","3","「%1」に１明細以上入力して下さい。","fsol20","2009/02/24 13:24:16","fsol20","2009/02/24 13:24:16"
"E135","3","取戻可能回送数は、登録されている回送明細数以下に設定して下さい。","fsol10","2009/03/03 09:20:12","fsol10","2009/03/03 09:20:12"
"E136","3","都道府県と市区町村の合計文字数が２０文字を超えています。「%1」","fsol09","2009/03/05 13:04:50","fsol09","2009/03/05 13:09:02"
"E137","3","町域の文字数が２０文字を超えています。「%1」","fsol09","2009/03/05 13:08:24","fsol09","2009/03/05 13:08:24"
"E138","3","変更・削除の権限がありません。","fsol20","2009/03/09 09:17:27","fsol20","2009/03/09 09:17:27"
"E139","3","変更後口座情報が変更前と同じです。","base08","2009/03/10 20:23:50","base00","2009/04/25 18:23:35"
"E140","3","アップロード中にエラーが発生しました。","fsol09","2009/03/15 19:43:45","fsol09","2009/03/15 19:43:45"
"E141","3","%1する前に、%2処理を行ってください。","base00","2009/03/21 19:16:38","base00","2009/03/21 19:28:26"
"E142","3","事故報告書No[%1]で既に報告されています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E143","3","%1は必ず１つ以上%2してください。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E144","3","%1に%2の%3が含まれています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E145","3","手配中の管理票が存在しているため、変更できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E146","3","%1が%2と重複しています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E147","3","既に自販機設置されている%1です。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E148","3","異なる%1の預り機です。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E149","3","異なる%1の管理票Ｎｏです。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E150","3","異なる%1の伝票Ｎｏです。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E151","3","%1の管理票Ｎｏです。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E152","3","「%1」に入力した[%2]は見つかりませんでした。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E153","3","%1から%2には変更できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E154","3","%1と%2が同じです。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E155","3","%1の管理票ではありません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E156","3","%1の場合、「%2」は[%3]を指定してください。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E157","3","業者に対応した支払先が登録されていません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E158","3","変更されていないため、確定できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E159","3","異なる様式の覚書Ｎｏです。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E160","3","指定した覚書は契約可能台数がありません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E161","3","%1が%2のため、%3できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E162","3","元依頼書No[%1]が完了確認されていません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E163","3","派生依頼書No[%1]が完了確認されています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E164","3","取込ファイルの[%1]行目は「%2」です。","fsol05","2009/04/30 23:27:30","fsol08","2009/05/22 10:23:57"
"E165","3","%1の%2は%3で入力してください。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E166","3","機種、機番の組合せが自社機の組合せです。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E167","3","選択した明細は「%1」です。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E168","3","%1[%2]が登録されているため、%3を変更できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E169","3","%1で赤黒処理となる依頼書Noです。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E170","3","%1の桁が繰上げされるため、%1または%2を見直してください。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E171","3","%1の入力数値に誤りがあります。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E172","3","「%1」に「%2」の前回設置日(%3)以降の日付を入力してください。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E173","3","「%1」は過去「%2」日以内の日付を入力してください。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E174","3","該当の什器設置情報は削除できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E175","3","「%1」の選択可能業者ではありません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E176","3","最新の移動履歴は、移動入力で作成した情報ではないため、変更できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E177","3","最新版数のデータは%1できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E178","3","検索条件のいずれも入力されていません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E179","3","管理票Ｎｏ[%1]、得意先コード[%2]、レンタル会員番号[%3]の有償台帳は既に存在しています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E180","3","契約条件が「顧客リース」のとき、支払回数は、36回、48回、60回しか入力できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E181","3","同一会社の支払先が既に入力されています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E182","3","%1は%2以下の値を入力してください。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E183","3","%1は%2以上の値を入力してください。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E184","3","既に契約が登録されているため削除できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E185","3","同一作業内容でのセレクション、底面積の混在設定はできません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E186","3","入力した「%1」は既に存在しています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E187","3","「セレクション」、「底面積」のいずれも入力されていません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E188","3","「%1」、「%2」の両方を入力する事はできません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E189","3","「%1」で始まる%2用のファイルではありません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E190","3","レンタル会員番号[%1]は、有償台帳データに存在しません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E191","3","不能管理テーブルに重複データが存在しています。不能発生日= [%1]、レンタルリース= [%2]、契約書No= [%3]、得意先コード= [%4]。","fsol05","2009/04/30 23:27:30","fsol08","2009/06/08 19:05:47"
"E192","3","%1時点の消費税が取得できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E193","3","指定したリース会社のファイルではありません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E194","3","取込された管理票No[%1]の%2が正しくありません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E195","3","取込された管理票No[%1]は、自販機リースマスタに存在しません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E196","3","明細No[%1]は契約書No単位で%2を選択してください。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E197","3","明細No[%1]の契約書Noは既に採番なしで登録されています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E198","3","契約書No[%1]のレンタル会員番号「%2」は有償台帳データに存在しています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E199","3","契約書No[%1]のレンタル会員番号が既に登録されています。採番なしチェックを外してください。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E200","3","自動採番をしてください。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E201","3","「%1」が選択されていません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E202","3","既に%1済みの有償データです。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E203","3","自社契約のため、解約できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E204","3","%1が[%2]以降のデータが既に存在しています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E205","3","[%1]以降の%2を入力してください。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E206","3","入力した%1、%2が既に登録されています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E207","3","ロケーションコード[%1]、リベート明細番号[%2]の協定書の支払条件区分は「手入力」です。手数料再計算する前に、売上報告入力機能で手数料を入力してください。","base00","2010/02/23 22:10:33","base00","2010/02/23 22:10:33"
"E208","3","入力した「%1」で「%2」を取得できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E209","3","「%1」に入力した[%2]は完了入力が行われています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E210","3","「%1」に入力した[%2]はレンタル契約入力が行われています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E211","3","ダミー覚書No.は使用できません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E212","3","「%1」に入力した[%2]は契約書Noとして正しくありません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E213","3","「%1」に入力した[%2]は存在しません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E214","3","管理票Ｎｏ[%1]は設置先情報が更新されています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E215","3","得意先コード[%1]、ロケーションコード[%2]の有償機情報が存在しません。","fsol05","2009/04/30 23:27:30","fsol05","2010/03/15 15:37:42"
"E216","3","得意先コード[%1]、管理票Ｎｏ「%2」、契約書No[%3]、 自社No[%4]は有償契約ではありません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E217","3","既設管理票No[%1]は代替可能な契約ではありません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E218","3","指定した設置日[%1]～[%2]のデータは存在しません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E219","3","複数の消費税率にまたがる設置期間です。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E220","3","「%1」に入力した[%2]は既に送付票が受領されています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E221","3","「%1」に入力した[%2]は既に更新締が行われています。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E222","3","入力された得意先コードと、ロケーションの得意先コードが同じです。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E223","3","ロケーションコード[%1]の協定書が存在しません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E224","3","既にロケーションが登録されている直販FOです。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E225","3","指定したロケーションの自販機は中途解約中のため、得意先変更はできません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E226","3","有償台帳データに複数データがあります。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E227","3","「保険限度額算出一覧」に入力した「支払月数」が１～６０の連続ではありません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E228","3","管理票Ｎｏ[%1]にはロケーション[%2]の履歴が存在しません。","fsol05","2009/04/30 23:27:30","fsol05","2009/04/30 23:27:30"
"E229","3","ロケーションコード[%1]は既に更新されています。","fsas02","2009/05/01 13:32:17","fsas02","2009/05/01 13:32:17"
"E230","3","契約書No[%1]は有償台帳データに存在しません。","fsol14","2009/05/07 18:42:42","fsol14","2009/05/07 18:42:42"
"E232","3","「%1」と「%2」の組合せは既に存在しています。","fsol05","2009/05/15 19:48:58","fsol05","2009/05/15 19:48:58"
"E233","3","「%1」に入力した[%2]は既に存在しています。","fsol05","2009/05/27 11:10:40","fsol05","2009/05/27 11:10:40"
"E234","3","「%1」に「%2」より前の日付を入力してください。","fsol08","2009/05/29 13:13:01","fsol08","2009/05/29 13:13:01"
"E235","3","データ件数が%1件を超えました。","fsol14","2009/06/30 13:56:59","fsol14","2009/07/01 14:22:02"
"E236","3","%1のデータ件数が%2件を超えました。","fsol14","2009/07/01 10:07:06","fsol14","2009/07/01 10:07:06"
"E237","3","指定した条件の売上報告書は既に出力されています。","base01","2009/07/06 17:56:16","base01","2009/07/06 17:56:16"
"E238","3","「%1」に「%2」以前の日付を入力してください。","fsol05","2009/07/17 12:53:21","fsol05","2009/07/17 12:53:21"
"E239","3","「%1」タブの%2行目の修理区分が変更されています。部品入力画面で再度確定してください。","fsol05","2009/07/21 15:30:23","fsol05","2009/07/21 15:30:23"
"E240","3","本人へ代行を設定することはできません。","fsol10","2009/08/25 14:20:19","fsol10","2009/08/25 16:46:07"
"E241","3","管理票No[%1]は手配中です。","fsol05","2009/09/28 20:42:55","fsol05","2009/09/28 20:42:55"
"E242","3","「%1」を入力する場合、「%2」または「%3」を入力してください。","lpa04","2009/10/06 15:56:13","lpa04","2009/10/06 15:56:13"
"E243","3","作業明細に[%1]が重複しています。","fsol05","2010/01/07 13:43:21","fsol05","2010/01/07 13:46:13"
"E244","3","「%1」に入力した[%2]は%3です。","fsol05","2010/02/19 15:39:25","fsol05","2010/02/19 15:39:25"
"E245","3","「%1」の[%2]を選択した場合は、%3のいずれかを[%4]に設定してください。","fsol07","2011/01/24 11:45:44","fsol07","2011/01/24 11:45:44"
"E246","3","%1[%2]で使用されているため%3できません。","fsol07","2011/01/24 11:51:31","fsol07","2011/01/24 11:51:31"
"E247","3","%1行目の%2に%3は指定できません。","fsol07","2011/02/01 18:51:06","fsol07","2011/02/01 18:51:46"
"E248","3","%1行目の%2は存在しません。","fsol07","2011/02/01 19:32:27","fsol07","2011/02/01 19:47:02"
"E249","3","%1と%2が一致するように入力してください。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E250","3","%1が%2になるように、%3を入力してください。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E251","3","%1が%2ではない場合、%3を必ず入力してください。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E252","3","%1行目の%2は%3を入力してください。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E253","3","%1行目の%2と%3が一致するように入力してください。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E254","3","「%1」と異なる「%2」を入力してください。","fsol10","2011/02/08 09:24:04","fsol10","2011/03/02 11:51:34"
"E255","3","入力した%1は既に%2で入力済です。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E256","3","%1は、%2より%3以内の日付を入力してください。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E257","3","「%1」の[%2]がマスタに存在しません。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E258","3","既に%1のため、%2できません。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E259","3","既に登録済の%1が存在します。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:39:42"
"E260","3","「%1」の主管が存在しなくなるため、請求先の口座移動はできません。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E261","3","経理日報申請済の明細があるため、%1できません。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E262","3","%1[%2]は既に同じ「売上日」で申請済です。（申請NO[%3]）","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E263","3","本伝票は%1のため、%2できません。（申請NO[%3]）","fsol10","2011/02/08 09:24:04","fsol10","2011/03/02 11:15:36"
"E264","3","本伝票の親伝票がまだ決裁されていないため、可決できません。（申請NO[%1]）","fsol10","2011/02/08 09:24:04","fsol10","2011/03/02 11:15:49"
"E265","3","%1で入力されている得意先コード[%2]は入金入力されていないため、申請できません。","fsol10","2011/02/08 09:24:04","fsol10","2011/03/02 11:58:02"
"E266","3","得意先コード[%1]は調整内容が入力されていません。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E267","3","チャネル区分が[%1]の得意先コードは入力できません。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E268","3","「発生日」は契約期間内[%1]～[%2]の日付を入力してください。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E269","3","選択した請求先は%1のため、使用できません。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E270","3","指定したファイルにデータがありません。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E271","3","指定した「売上日」は既に申請済です。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E272","3","指定した預入日以降の売上日の明細は選択できません。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E273","3","「現金」が0円で、かつ「保留小切手情報」が入力されていないため、申請できません。","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 09:24:04"
"E274","3","既存の請求先を選択する場合は、総括請求先を入力してください。","fsol10","2011/02/08 09:24:04","fsol10","2011/03/02 11:51:46"
"E275","3","フルオペ預り金総括請求先は「末端チャネル区分がＦＯでかつ末端請求支払区分が請求」以外の場合、選択できません","fsol10","2011/02/08 09:24:04","fsol10","2011/02/08 19:51:53"
"E276","3","%1はいずれか１つのみ%2してください。","fsol07","2011/02/17 20:08:53","fsol07","2011/02/17 20:08:53"
"E278","3","%1行目の%2は%3ため、%4できません。","fsol07","2011/02/17 23:37:24","fsol07","2011/02/17 23:41:11"
"E279","3","%1以降に%2が行われています。","fsol07","2011/02/17 23:46:53","fsol07","2011/02/17 23:46:53"
"E280","3","%1を設定してください。","fsol07","2011/02/17 23:49:30","fsol07","2011/02/17 23:49:30"
"E281","3","%1に%2が存在するため、%3できません。","fsol07","2011/02/18 00:07:52","fsol07","2011/02/18 00:07:52"
"E282","3","%1場合は、%2を%3してください。","fsol07","2011/02/24 22:53:53","fsol07","2011/02/24 22:53:53"
"E283","3","合計0円の申請はできません。経理日報（調整）で申請してください。","fsol10","2011/03/02 11:56:30","fsol10","2011/03/02 11:56:30"
