コードID,項目順序,表示幅,項目名,キー値順序,名称値順序,検索順序,検索タイプ,ソート順序,開始キー,コントロールID,コントロール名,属性ID,コンディションID,コンディション名,フォーマットID,IMEモードID,IMEモード名,作成者ID,作成日付,更新者ID,更新日付
"機種コードビュー01","32","20","仕様_内容_コード_１７","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","33","20","仕様_内容_コード_１８","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","34","20","仕様_内容_コード_１９","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","35","20","仕様_内容_コード_２０","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","36","20","仕様_内容_コード_２１","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","37","20","仕様_内容_コード_２２","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","38","20","仕様_内容_コード_２３","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","39","20","仕様_内容_コード_２４","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","40","20","仕様_内容_コード_２５","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","41","20","仕様_内容_コード_２６","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","42","20","仕様_内容_コード_２７","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","43","20","仕様_内容_コード_２８","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","44","20","仕様_内容_コード_２９","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","45","20","仕様_内容_コード_３０","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","46","20","仕様_内容_コード_３１","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","47","20","仕様_内容_コード_３２","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","48","20","仕様_内容_コード_３３","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","49","20","仕様_内容_コード_３４","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","50","20","仕様_内容_コード_３５","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","51","20","仕様_内容_コード_３６","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","52","20","仕様_内容_コード_３７","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","53","20","仕様_内容_コード_３８","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","54","20","仕様_内容_コード_３９","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","55","20","仕様_内容_コード_４０","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","56","20","仕様_内容_コード_４１","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","57","20","仕様_内容_コード_４２","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","58","20","仕様_内容_コード_４３","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:33","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","59","20","仕様_内容_コード_４４","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:34","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","60","20","仕様_内容_コード_４５","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:34","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","61","20","仕様_内容_コード_４６","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:34","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","62","20","仕様_内容_コード_４７","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:34","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","63","20","仕様_内容_コード_４８","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:34","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","64","20","仕様_内容_コード_４９","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:34","lpa00","2010/03/15 09:22:57"
"機種コードビュー01","65","20","仕様_内容_コード_５０","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:37:34","lpa00","2010/03/15 09:22:57"
"故障箇所コードビュー01","1","90","故障箇所区分","0","1","0","0","1","","","","","","","00","0","","fsol14","2009/04/20 13:11:36","fsol14","2009/09/25 14:30:18"
"故障箇所コードビュー01","2","100","故障箇所区分名","0","2","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:11:36","fsol14","2009/09/25 14:30:18"
"故障箇所コードビュー01","3","90","故障箇所コード","1","3","0","0","2","","","","","","","00","0","","fsol14","2009/04/20 13:11:36","fsol14","2009/09/25 14:30:18"
"故障箇所コードビュー01","4","270","故障箇所名","0","4","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:11:36","fsol14","2009/09/25 14:30:18"
"故障状態コードビュー01","1","90","故障状態区分","0","1","0","0","1","","","","","","","00","0","","fsol14","2009/04/20 13:10:18","fsol14","2009/09/25 14:29:34"
"故障状態コードビュー01","2","100","故障状態区分名","0","2","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:10:18","fsol14","2009/09/25 14:29:34"
"故障状態コードビュー01","3","90","故障状態コード","1","3","0","0","2","","","","","","","00","0","","fsol14","2009/04/20 13:10:18","fsol14","2009/09/25 14:29:34"
"故障状態コードビュー01","4","270","故障状態名","0","4","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:10:18","fsol14","2009/09/25 14:29:34"
"供出供与コードビュー01","1","90","","1","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:01:15","fsol05","2010/02/16 16:13:45"
"供出供与コードビュー01","2","80","伝票No.","0","1","0","0","1","","","","","","","00","0","","fsol14","2009/04/20 14:01:15","fsol05","2010/02/16 16:13:45"
"供出供与コードビュー01","3","60","出庫日","0","2","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:01:15","fsol05","2010/02/16 16:13:45"
"供出供与コードビュー01","4","80","供与部署CD","0","5","3","1","0","","TXT","テキストボックス","SB1","","","00","2","オフ","fsol14","2009/04/20 14:01:15","fsol05","2010/02/16 16:13:45"
"供出供与コードビュー01","5","135","供与部署名","0","6","4","3","0","","TXT","テキストボックス","SN5","","","00","4","全角ひらがな","fsol14","2009/04/20 14:01:15","fsol05","2010/02/16 16:13:45"
"供出供与コードビュー01","6","80","引取場所CD","0","7","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:01:15","fsol05","2010/02/16 16:13:45"
"供出供与コードビュー01","7","255","引取場所名","0","8","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:01:15","fsol05","2010/02/16 16:13:45"
"供出供与コードビュー01","8","80","引渡場所CD","0","9","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:01:15","fsol05","2010/02/16 16:13:45"
"供出供与コードビュー01","9","255","引渡場所名","0","10","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:01:15","fsol05","2010/02/16 16:13:45"
"供出供与コードビュー01","10","80","供出部署CD","0","3","1","1","0","","TXT","テキストボックス","SB1","","","00","2","オフ","fsol14","2009/04/20 14:01:15","fsol05","2010/02/16 16:13:45"
"供出供与コードビュー01","11","20","サブ_システム_ＩＤ","0","0","0","0","0","","","","","","","00","0","","fsol05","2009/05/21 21:51:53","fsol05","2010/02/16 16:13:45"
"供出供与コードビュー01","12","80","","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/08/12 10:08:20","fsol05","2010/02/16 16:13:45"
"供出供与コードビュー01","13","135","供出部署名","0","4","2","3","0","","TXT","テキストボックス","SN5","","","00","4","全角ひらがな","fsol05","2010/02/16 15:58:00","fsol05","2010/02/16 16:13:45"
"ロケーション変更コードビュー01","1","70","依頼書No.","0","1","0","0","1","","","","","","","00","0","","fsol14","2009/04/20 14:14:00","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","2","60","入力日","0","2","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:00","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","3","70","得意先CD","0","5","3","1","0","","TXT","テキストボックス","SB1","","","00","2","オフ","fsol14","2009/04/20 14:14:00","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","4","195","得意先名","0","6","4","3","0","","TXT","テキストボックス","SN5","","","00","4","全角ひらがな","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","5","70","ﾛｹｰｼｮﾝCD","0","7","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","6","255","ロケーション名","0","8","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","7","80","旧得意先CD","0","9","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","8","135","旧得意先名","0","10","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","9","90","旧ﾛｹｰｼｮﾝCD","0","11","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","10","255","旧ロケーション名","0","12","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","11","70","管理票No.","0","13","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","12","20","旧_チャネル_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","13","80","旧_設置_先_郵便_番号","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","14","400","旧_設置_先_住所１","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","15","400","旧_設置_先_住所２","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","16","400","旧_設置_先_住所３","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","17","400","旧_契約_者_名称","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","18","70","設置_依頼書_番号_入力","1","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/23 13:11:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","19","20","サブ_システム_ＩＤ","0","0","0","0","0","","","","","","","00","0","","fsol05","2009/05/21 21:48:40","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","20","55","部署CD","0","3","1","1","0","","TXT","テキストボックス","SB1","","","00","2","オフ","fsol14","2009/04/20 14:14:01","fsol05","2010/02/16 17:09:50"
"ロケーション変更コードビュー01","21","135","部署名","0","4","2","3","0","","TXT","テキストボックス","SN5","","","00","4","全角ひらがな","fsol05","2010/02/16 16:20:32","fsol05","2010/02/16 17:09:50"
"ロケーションコードビュー01","1","100","ロケーションコード","1","1","7","1","1","","TXT","テキストボックス","SB1","","","00","2","オフ","lpa01","2008/09/09 14:08:00","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","2","120","ロケーション名","0","2","1","3","0","","TXT","テキストボックス","SN3","","","00","1","オン","lpa01","2008/09/09 14:08:00","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","3","0","郵便番号","0","3","0","0","0","","","","","","","00","0","","lpa01","2008/12/15 14:35:49","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","4","0","地区コード","0","4","0","0","0","","","","","","","00","0","","lpa02","2008/09/10 14:16:21","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","5","0","住所","0","0","2","3","0","","TXT","テキストボックス","SN3","","","00","1","オン","lpa02","2008/09/10 13:10:27","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","6","150","住所１","0","5","0","0","0","","","","","","","00","0","","lpa01","2008/09/09 14:08:00","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","7","150","住所２","0","6","0","0","0","","","","","","","00","0","","lpa01","2008/09/09 14:08:00","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","8","150","住所３","0","7","0","0","0","","","","","","","00","0","","lpa01","2008/09/09 14:08:00","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","9","0","得意先コード","0","0","3","1","0","","TXT","テキストボックス","SB1","","","00","2","オフ","lpa01","2008/09/09 14:08:00","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","10","0","得意先名","0","0","4","3","0","","TXT","テキストボックス","SN5","","","00","1","オン","lpa01","2008/09/09 14:08:00","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","11","0","管理部署コード","0","0","5","1","0","","TXT","テキストボックス","SB1","","","00","2","オフ","lpa01","2008/09/09 14:08:00","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","12","0","管理部署名","0","0","6","3","0","","TXT","テキストボックス","SN5","","","00","1","オン","lpa01","2008/09/09 14:08:00","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","13","10","自販機_有無_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/23 15:09:37","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","14","200","設置_先_電話_番号","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/23 15:09:37","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","15","10","セグメント_１_コード","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/23 15:09:37","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","16","400","セグメント_１_名称","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/23 15:09:37","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","17","20","セグメント_２_コード","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/23 15:09:37","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","18","400","セグメント_２_名称","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/23 15:09:37","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","19","20","チャネル_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/23 15:09:37","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","20","20","末端_チャネル_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/23 15:09:37","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","21","10","売上_報告_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/23 15:09:37","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","22","10","末端_請求_支払_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/23 15:09:37","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","23","20","ロケーション_締日","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/07/22 15:23:48","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","24","20","売上_報告_日","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/07/22 15:23:48","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","25","80","総括_請求_先_コード","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/07/22 15:23:48","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","26","10","電子_マネー_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/10/01 21:13:52","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","27","40","末端_取引_条件_コード","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/10/01 21:13:52","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","28","40","定率_納品_時_値引_率","0","0","0","0","0","","","","","","","11","0","","fsol14","2009/10/01 21:19:04","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","29","40","定率_請求_時_値引_率","0","0","0","0","0","","","","","","","11","0","","fsol14","2009/10/01 21:19:04","lpa00","2010/03/15 09:24:15"
"ロケーションコードビュー01","30","10","消費税_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/10/01 21:13:52","lpa00","2010/03/15 09:24:15"
"覚書（自販機展開）コードビュー01","1","140","覚書No.","1","1","0","0","1","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:02"
"覚書（自販機展開）コードビュー01","2","60","","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:02"
"覚書（自販機展開）コードビュー01","3","100","覚書様式","0","2","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:02"
"覚書（自販機展開）コードビュー01","4","60","部署CD","0","3","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","5","130","部署名","0","4","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","6","70","得意先CD","0","5","1","1","0","","TXT","テキストボックス","SB1","","","00","2","オフ","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","7","200","得意先名","0","6","2","3","0","","TXT","テキストボックス","SN5","","","00","0","なし","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","8","70","承認台数","0","7","0","0","0","","","","","","","12","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","9","80","契約済台数","0","8","0","0","0","","","","","","","12","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","10","70","取交日","0","9","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","11","95","契約期間(開始)","0","10","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","12","95","契約期間(終了)","0","11","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","13","30","覚書_番号_１","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","14","50","覚書_番号_２","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","15","20","覚書_番号_３","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","16","30","覚書_番号_４","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","17","20","覚書_番号_５","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","18","10","残_台数_有無_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:33:11","fsol14","2009/09/25 14:35:03"
"覚書（自販機展開）コードビュー01","19","30","残_台数","0","0","0","0","0","","","","","","","12","0","","fsol05","2009/05/19 11:07:18","fsol14","2009/09/25 14:35:03"
"作業価格コードビュー01","1","70","部署CD","1","1","1","1","1","","TXT","テキストボックス","SB1","","","00","2","オフ","fsol14","2009/04/20 14:28:07","fsol14","2009/09/25 14:48:54"
"作業価格コードビュー01","2","150","部署名","0","2","2","3","0","","TXT","テキストボックス","SN5","","","00","0","なし","fsol14","2009/04/20 14:28:08","fsol14","2009/09/25 14:48:54"
"作業価格コードビュー01","3","70","業者CD","2","3","3","1","2","","TXT","テキストボックス","SB1","","","00","2","オフ","fsol14","2009/04/20 14:28:08","fsol14","2009/09/25 14:48:54"
"作業価格コードビュー01","4","270","業者名","0","4","4","3","0","","TXT","テキストボックス","SN5","","","00","0","なし","fsol14","2009/04/20 14:28:08","fsol14","2009/09/25 14:48:54"
"整備手配コードビュー01","1","90","依頼書No.","0","1","0","0","1","","","","","","","00","0","","fsol14","2009/04/20 13:56:57","fsol05","2010/02/18 16:57:12"
"整備手配コードビュー01","2","70","依頼日","0","2","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:56:57","fsol05","2010/02/18 16:57:12"
"整備手配コードビュー01","3","70","部署CD","0","3","1","1","0","","TXT","テキストボックス","SB1","","","00","2","オフ","fsol14","2009/04/20 13:56:57","fsol05","2010/02/18 16:57:12"
"整備手配コードビュー01","4","130","部署名","0","4","2","3","0","","TXT","テキストボックス","SN5","","","00","4","全角ひらがな","fsol14","2009/04/20 13:56:57","fsol05","2010/02/18 16:57:12"
"整備手配コードビュー01","5","10","","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:56:57","fsol05","2010/02/18 16:57:12"
"整備手配コードビュー01","6","130","整備内容","0","5","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:56:57","fsol05","2010/02/18 16:57:12"
"整備手配コードビュー01","7","70","管理票No.","0","6","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:56:57","fsol05","2010/02/18 16:57:12"
"整備手配コードビュー01","8","150","機種","0","7","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:56:57","fsol05","2010/02/18 16:57:12"
"整備手配コードビュー01","9","120","機番","0","8","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:56:57","fsol05","2010/02/18 16:57:12"
"整備手配コードビュー01","10","10","","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:56:57","fsol05","2010/02/18 16:57:12"
"整備手配コードビュー01","11","90","","1","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:56:57","fsol05","2010/02/18 16:57:12"
"整備手配コードビュー01","12","50","","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:56:57","fsol05","2010/02/18 16:57:12"
"整備手配コードビュー01","13","20","サブ_システム_ＩＤ","0","0","0","0","0","","","","","","","00","0","","fsol05","2009/05/21 21:32:40","fsol05","2010/02/18 16:57:12"
"設置手配コードビュー01","1","90","依頼書No.","0","1","0","0","1","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:10"
"設置手配コードビュー01","2","70","依頼日","0","2","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:10"
"設置手配コードビュー01","3","70","部署CD","0","3","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","4","130","部署名","0","4","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","5","70","得意先CD","0","5","1","1","0","","TXT","テキストボックス","SB1","","","00","2","オフ","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","6","200","得意先名","0","6","2","3","0","","TXT","テキストボックス","SN5","","","00","0","なし","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","7","30","","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","8","120","手配区分","0","7","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","9","90","ﾛｹｰｼｮﾝCD","0","8","3","1","0","","TXT","テキストボックス","SN5","","","00","0","なし","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","10","270","ロケーション名","0","9","4","3","0","","TXT","テキストボックス","SN3","","","00","0","なし","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","11","70","管理票No.","0","10","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","12","150","機種","0","11","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","13","120","機番","0","12","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","14","10","設置_状況","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","15","50","手配_業者_コード","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","16","20","チャネル_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","17","70","引上_管理_票_番号","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","18","10","契約_入力_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 13:37:42","fsol14","2009/09/25 14:36:11"
"設置手配コードビュー01","19","10","メーカー_発注_確認_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/08/07 10:32:52","fsol14","2009/09/25 14:36:11"
