エンティティ物理名,エンティティ論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"ZT_CLAIM_TAIOU","クレーム対応データ","管理票No.一括訂正からクレーム機で登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:15:59"
"ZT_HAIKI_SIHA_HED","廃棄支払データ_ヘッダ","業者への支払データ（廃棄費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:57:21"
"ZT_HAIKI_SIHA_MEI","廃棄支払データ_明細","業者への支払データ（廃棄費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 17:10:57"
"ZT_HONTAI_SIHA_HED","本体支払データ_ヘッダ","業者への支払データ（自販機本体）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:28:20"
"ZT_HONTAI_SIHA_MEI","本体支払データ_明細","業者への支払データ（自販機本体）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:28:51"
"ZT_KANRIHYOU_RENKEI","管理票連携データ","ＳＳＳへ連携する管理票データ（２日分）","fsol05","2009/04/13 11:45:34","fsol05","2010/04/06 15:56:53"
"ZT_KEIYAKU_IKKATU","契約一括入力データ","契約一括入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:16:36"
"ZT_KEIYAKUSYO_SOUHU_ZK","自販機契約書送付票（自販機契約）テーブル","自販機契約データと同時に作成され、送付票管理で使用されるデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:30:38"
"ZT_KISYU_BUHIN_HIS","機種部品履歴データ","修理、整備で登録された部品と機種の組み合わせ履歴データ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:18:37"
"ZT_KYOUSYUTU_KYOUYO_HED","供出供与データ_ヘッダ","供出入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:06:51"
"ZT_KYOUSYUTU_KYOUYO_MEI","供出供与データ_明細","供出入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:31:30"
"ZT_LOCATION_HENKOU","ロケーション変更データ","ロケーション変更入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:16:43"
"ZT_OBOEGAKI_TENKAI","覚書（自販機展開）データ","覚書（自販機展開）から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:17:21"
"ZT_RENTAL_HIKIOTOSI","レンタル引落データ","レンタル引落された結果データ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 17:11:23"
"ZT_RENTAL_HUNOU_KANRI","レンタル不能管理データ","レンタル引落が不能であった結果データ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:04:59"
"ZT_RENTAL_KAIIN_NO","レンタル会員番号登録データ","レンタル会員番号一括入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:04:31"
"ZT_SEIBI_BUHIN","整備部品データ","整備進捗／完了入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:45:39"
"ZT_SEIBI_HIS","整備履歴データ","自販機の修理履歴データ
保持期間：管理票マスタ論理削除後、1年","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:46:29"
"ZT_SEIBI_KANRYOU_PROOF","整備完了プルーフデータ","整備状況照会の操作履歴を保持したデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:45:58"
"ZT_SEIBI_SIHA_HED","整備支払データ_ヘッダ","業者への支払データ（整備費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:55:36"
"ZT_SEIBI_SIHA_MEI","整備支払データ_明細","業者への支払データ（整備費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:37:54"
"ZT_SEIBI_TEHAI","整備手配データ","整備手配入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:34:30"
"ZT_SETTI_HONTAI_MEI","設置本体明細データ","設置手配入力から登録されたデータ（新品手配のみ）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:35:18"
"ZT_SETTI_KANRYOU_PROOF","設置完了プルーフデータ","設置完了入力の操作履歴を保持したデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:15:41"
"ZT_SETTI_KOUZI_MEI","設置工事明細データ","設置手配入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:36:33"
"ZT_SETTI_SIHA_HED","設置支払データ_ヘッダ","業者への支払データ（設置工事費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:37:12"
"ZT_SETTI_SIHA_MEI","設置支払データ_明細","業者への支払データ（設置工事費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:47:20"
"ZT_SETTI_TEHAI","設置手配データ","設置手配入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:40:15"
"ZT_SIME_KAKUTEI","締確定データ","手配支払締処理の実行対象部署が登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:59:41"
"ZT_SIME_SYORI_ZIKKOU_PLAN","締処理実行計画データ","手配支払締の処理タイミングを管理するデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:59:55"
"ZT_SYURI_BUHIN","修理部品データ","修理進捗／完了入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:22:40"
"ZT_SYURI_HIS","修理履歴データ","自販機の修理履歴データ
保持期間：管理票マスタ論理削除後、1年","fsol05","2009/03/19 15:28:21","fsol05","2010/04/06 16:15:13"
"ZT_SYURI_KANRYOU_PROOF","修理完了プルーフデータ","修理状況照会の操作履歴を保持したデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:44:08"
"ZT_SYURI_KOSYOU_COLUMN","修理故障コラムデータ","修理進捗／完了入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:23:03"
"ZT_SYURI_KOSYOU_NAIYOU","修理故障内容データ","修理手配入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:21:34"
"ZT_SYURI_KOSYOU_SYOUSAI","修理故障詳細データ","修理手配入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:22:00"
"ZT_SYURI_SIHA_HED","修理支払データ_ヘッダ","業者への支払データ（修理費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:48:59"
"ZT_SYURI_SIHA_MEI","修理支払データ_明細","業者への支払データ（修理費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:41:05"
"ZT_SYURI_TEHAI_HED","修理手配データ_ヘッダ","修理手配入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:43:50"
"ZT_SYURI_TEHAI_MEI","修理手配データ_明細","修理手配入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol05","2010/01/28 17:13:18"
"ZT_TC_BUHINDAI_SIHA","TC部品代支払データ","メーカー支払部品代入力から登録されたデータ","fsol05","2009/08/01 17:29:19","fsol14","2009/12/22 10:26:12"
"ZT_TC_SEIBI_SEIKYU_HED","TC整備請求データ_ヘッダ","ＴＣからの請求データ（整備費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:10:24"
"ZT_TC_SEIBI_SEIKYU_MEI","TC整備請求データ_明細","ＴＣからの請求データ（整備費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:49:27"
"ZT_TC_SEIBI_SIHA_HED","TC整備支払データ_ヘッダ","ＴＣから作業会社への支払データ（整備費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:14:14"
"ZT_TC_SEIBI_SIHA_MEI","TC整備支払データ_明細","ＴＣから作業会社への支払データ（整備費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:50:18"
"ZT_TC_SETTI_SEIKYU_HED","TC設置請求データ_ヘッダ","ＴＣからの請求データ（設置工事費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:08:17"
"ZT_TC_SETTI_SEIKYU_MEI","TC設置請求データ_明細","ＴＣからの請求データ（設置工事費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:51:17"
"ZT_TC_SETTI_SIHA_HED","TC設置支払データ_ヘッダ","ＴＣから作業会社への支払データ（設置工事費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:14:51"
"ZT_TC_SETTI_SIHA_MEI","TC設置支払データ_明細","ＴＣから作業会社への支払データ（設置工事費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:51:54"
"ZT_TC_SIHA_HED","TC支払データ_ヘッダ","ＴＣから作業会社への支払データ（総括）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:11:53"
"ZT_TC_SYURI_SEIKYU_HED","TC修理請求データ_ヘッダ","ＴＣからの請求データ（修理費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:09:04"
"ZT_TC_SYURI_SEIKYU_MEI","TC修理請求データ_明細","ＴＣからの請求データ（修理費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:52:35"
"ZT_TC_SYURI_SIHA_HED","TC修理支払データ_ヘッダ","ＴＣから作業会社への支払データ（修理費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:13:06"
"ZT_TC_SYURI_SIHA_MEI","TC修理支払データ_明細","ＴＣから作業会社への支払データ（修理費用）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:53:08"
"ZT_TEIZIA","定時払Aデータ","定時Ａ送付票を印刷するためのデータ","fsol05","2009/03/19 15:28:21","fsol07","2011/02/23 19:00:07"
"ZT_TOK_HENKOU_HED","得意先変更データ_ヘッダ","得意先変更入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:17:05"
"ZT_TOK_HENKOU_MEI","得意先変更データ_明細","得意先変更入力から登録されたデータ（什器が存在する場合のみ）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:16:58"
"ZT_TOK_HENKOU_REBATE","得意先変更データ_リベート","得意先変更入力から登録されたデータ（リベート条件が存在する場合のみ）","fsol14","2009/07/15 09:41:05","fsol14","2009/12/11 13:16:51"
"ZT_TOK_IKAN_ZISSEKI","得意先移管実績データ","得意先の管理部署変更を保持するデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:16:49"
"ZT_TYUTO_KAIYAKU","中途解約データ","中途解約入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:05:36"
"ZT_YUSYOU_DAITYOU","有償台帳データ","有償台帳を管理するデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/21 19:54:09"
"ZT_YUSYOU_DAITYOU_KOUZA","有償台帳口座変更前情報データ","有償台帳の口座変更情報を保持するデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:04:01"
"ZT_YUSYOU_DAITYOU_LOG","有償台帳データ_ログ","有償台帳の変更情報を保持するデータ","fsol05","2009/03/19 15:28:21","fsol05","2010/04/06 16:05:36"
"ZT_YUSYOU_DAITYOU_MBK","有償台帳データ_月次退避","有償台帳を管理するデータ","fsol07","2009/12/11 17:04:49","fsol07","2009/12/11 17:07:37"
"ZT_ZAIKOKI_IKAN","在庫機移管データ","在庫機移管部署登録から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:16:22"
"ZT_ZIHANKI_HAIKI_HED","自販機廃棄データ_ヘッダ","引取確定入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:07:27"
"ZT_ZIHANKI_HAIKI_MEI","自販機廃棄データ_明細","引取確定入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 14:07:40"
"ZT_ZIHANKI_IDOU_HIS","自販機移動履歴データ","自販機の移動履歴データ（最新版数 = 自販機設置先情報）
保持期間：4年経過、かつ管理票マスタ論理削除後1年","fsol05","2009/03/19 15:28:21","fsol05","2010/04/06 16:06:05"
"ZT_ZIHANKI_KEIYAKU","自販機契約データ","自販機契約入力、得意先変更入力、ロケーション変更入力等から登録されたデータ
保存期間：４年経過、かつ管理票マスタ論理削除後１年","fsol05","2009/03/19 15:28:21","fsol05","2010/04/06 16:13:10"
"ZT_ZIKO_HOUKOKUSYO","事故報告書データ","事故報告書入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/22 10:31:07"
"ZT_ZYUKI_HONTAI_MEI","什器本体明細データ","什器登録から登録されたデータ（リース対象機のみ）","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:15:59"
"ZT_ZYUKI_SETTI_INFO","什器設置情報データ","什器登録、什器設置先情報入力から登録されたデータ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 13:15:52"
"ZV_CD_BUHIN_HIS01","部品履歴コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_BUSYO04","部署コードビュー04","","fsol05","2009/04/16 19:50:02","fsol14","2009/07/27 14:05:34"
"ZV_CD_CLAIM01","クレームコードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_DUMMY01","ダミーコードビュー01","コンディションコンボボックスの項目削除対応用","fsol05","2009/07/28 21:26:16","fsol05","2009/08/05 17:52:06"
"ZV_CD_GENIN_TOKUTEI01","原因特定コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/05/11 14:47:06"
"ZV_CD_GENIN01","原因コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_GINKOU_SITEN02","銀行支店コードビュー02","引落EBデータ作成用","fsol05","2010/01/21 13:47:16","fsol05","2010/01/21 15:26:46"
"ZV_CD_GYOUSYA01","業者コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2010/02/02 20:10:20"
"ZV_CD_GYOUSYA02","業者コードビュー02","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_GYOUSYA03","業者コードビュー03","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_GYOUSYA04","業者コードビュー04","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_GYOUSYA05","業者コードビュー05","","fsol05","2009/06/05 20:47:14","fsol05","2009/06/05 20:47:14"
"ZV_CD_KISYU01","機種コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_KOSYOU_KASYO01","故障箇所コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_KOSYOU_STS01","故障状態コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_KYOUSYUTU01","供出供与コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2010/02/15 18:40:17"
"ZV_CD_LOCATION_HENKOU01","ロケーション変更コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2010/02/15 18:53:07"
"ZV_CD_OBOEGAKI_TENKAI01","覚書（自販機展開）コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/05/19 11:05:37"
"ZV_CD_SAGYOU_KAKAKU01","作業価格コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_SEIBI_TEHAI01","整備手配コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/05/19 21:25:12"
"ZV_CD_SETTI_TEHAI01","設置手配コードビュー01","","fsol05","2009/04/16 19:50:02","fsol14","2009/08/07 10:31:25"
"ZV_CD_SIHA01","支払先コードビュー01","","fsol05","2009/04/16 19:50:02","lpa00","2011/03/22 16:11:37"
"ZV_CD_SPEC_ITEM01","仕様項目コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_SYURI_TEHAI01","修理手配コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/05/19 21:24:47"
"ZV_CD_TC_KANRI_TESURYOU01","ＴＣ管理手数料コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_TC_SAGYOU_KAISYA01","ＴＣ作業会社コードビュー01","","fsol14","2009/05/08 11:57:34","fsol14","2009/05/08 11:57:34"
"ZV_CD_TC_SAGYOU_KAISYA02","ＴＣ作業会社コードビュー02","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_TC_SAGYOU_KAISYA04","ＴＣ作業会社コードビュー04","","fsol05","2009/07/10 16:25:50","fsol05","2009/07/10 16:25:50"
"ZV_CD_TC_SAGYOU_MEISAI01","ＴＣ作業明細コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_TC_SAGYOU_TANTOU01","ＴＣ作業担当者コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_TC_SAGYOU_TANTOU02","ＴＣ作業担当者コードビュー02","","fsol05","2009/07/17 10:44:10","fsol05","2009/07/17 10:44:10"
"ZV_CD_TC_SEIKYU_MI01","TC請求先（未発行）コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_TC_SEIKYU_SUMI01","TC請求先（発行済）コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_TC_SIHA_MI01","TC支払先（未発行）コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_TC01","ＴＣコードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:53"
"ZV_CD_TOK_HENKOU01","得意先変更コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2010/02/15 19:02:52"
"ZV_CD_TOK03","得意先コードビュー03","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:54"
"ZV_CD_TOK04","得意先コードビュー04","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:54"
"ZV_CD_ZIHANKI_HAIKI01","自販機廃棄コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2010/02/15 19:16:22"
"ZV_CD_ZIHANKI_KEIYAKU01","自販機契約コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2010/02/15 19:37:10"
"ZV_CD_ZIKO_HOUKOKUSYO01","事故報告書コードビュー01","","fsol05","2009/04/16 19:50:02","fsol05","2010/02/15 20:17:37"
"ZV_ZIKO_HOUKOKU_MI_IN","事故報告書未入力リストビュー","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:54"
"ZV_ZIKO_HOUKOKU_MI_SYURI","事故報告書未修理リストビュー","","fsol05","2009/04/16 19:50:02","fsol05","2009/04/16 19:50:54"
"ZM_CHANNEL_BUNRUI","チャネル分類マスタ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 18:29:01"
"ZM_HSK_SIZAI","販促資材マスタ","","fsol05","2010/10/07 19:54:53","fsol10","2010/10/12 13:34:54"
"ZM_KAISYA_KASAIMOKU","会社別科目細目マスタ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 18:30:34"
"ZM_KAISYA_KASAIMOKU_CON","会社別科目細目制御マスタ","","fsol05","2010/10/07 19:54:53","fsol07","2011/02/03 11:28:27"
"ZM_KAMOKU_INFO","科目情報マスタ","","fsol05","2010/10/07 19:54:53","fsol10","2010/10/12 13:36:32"
"ZM_KASAIMOKU","科目細目マスタ","","fsol05","2010/10/07 19:54:53","fsol10","2010/10/12 13:35:42"
"ZM_KIHON_KAKAKU","基本価格マスタ","","fsol05","2010/10/07 19:54:53","fsol10","2010/10/12 11:55:05"
"ZM_KOUZA_KANRI","口座管理マスタ","","fsol05","2010/10/07 19:54:53","fsol10","2011/02/23 16:08:57"
"ZM_KRRPT_ETC_SYOUSAI","経理日報その他詳細パターンマスタ","","fsol05","2010/10/07 19:54:53","fsol10","2010/12/09 13:51:39"
"ZM_OROSI_RUISIN_NEBIKI","卸累進値引マスタ","","fsol05","2010/10/07 19:54:53","fsol10","2010/10/12 13:10:00"
"ZM_SEIKYU_SAKI_KOUZA","請求先口座対応マスタ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 18:32:55"
"ZM_SEIKYU_SAKI_KOUZA_LOG","請求先口座対応マスタ_ログ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 18:33:52"
"ZT_AZUKEIRE_KBS_SINSEI","預入後過不足申請データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 18:35:22"
"ZT_AZUKEIRE_SINSEI_HED","預入申請データ_ヘッダ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 18:36:12"
"ZT_AZUKEIRE_SINSEI_MEI","預入申請データ_明細","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 18:40:23"
"ZT_DENPYOU_HED","伝票データ_ヘッダ","","fsol05","2010/10/07 19:54:53","fsol05","2011/03/30 10:49:23"
"ZT_DENPYOU_HED_DBK","伝票データ_ヘッダ_日次退避","","fsol05","2010/10/07 19:54:53","fsol05","2011/03/30 10:50:57"
"ZT_DENPYOU_MEI","伝票データ_明細","","fsol05","2010/10/07 19:54:53","fsol05","2011/03/30 11:01:40"
"ZT_DENPYOU_MEI_DBK","伝票データ_明細_日次退避","","fsol05","2010/10/07 19:54:53","fsol05","2011/03/30 14:55:23"
"ZT_ETS_BETU_NOUHIN_RUI","営業所得意先商品別納品累積データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:08:47"
"ZT_HASAN_SAIKEN_TOUROKU","破産債権登録データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:10:25"
"ZT_HASAN_ZANDAKA","破産残高データ","","fsol05","2010/10/07 19:54:53","fsol10","2010/10/12 13:33:54"
"ZT_HORYU_KGTG","保留小切手手形データ","","fsol05","2010/10/07 19:54:53","fsol10","2011/02/08 16:28:27"
"ZT_HSK_GEKKAN_RUI","販促月間累積データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:12:42"
"ZT_HSK_HIS","販促履歴データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:13:55"
"ZT_HSK_KAISYU_KANRI","販促回収管理データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:14:30"
"ZT_HSK_NOUHIN_DENPYOU","有償販促伝票データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:16:50"
"ZT_HSK_NOUHIN_NYUKIN","販促納品入金データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:25:45"
"ZT_HSK_NOUHIN_NYUKIN_DBK","販促納品入金データ_日次退避","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:27:31"
"ZT_HSK_NYUKIN_DENPYOU","販促入金伝票データ","","fsol05","2010/10/07 19:54:53","fsol09","2011/01/28 15:52:55"
"ZT_HSK_SEIKYU_KAKUTEI_HED","販促請求確定データ_ヘッダ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:32:37"
"ZT_HSK_SEIKYU_KAKUTEI_MEI","販促請求確定データ_明細","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:33:50"
"ZT_HSK_SIMEBI_RUI","販促締日累積データ","","fsol05","2010/10/07 19:54:53","fsol10","2010/10/12 13:19:15"
"ZT_HSK_SYAGAI_NOUHIN_HED","販促資材社外納品データ_ヘッダ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:35:37"
"ZT_HSK_SYAGAI_NOUHIN_MEI","販促資材社外納品データ_明細","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:36:21"
"ZT_HSK_SYANAI_SOUHU","販促社内送付データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:37:04"
"ZT_HSK_SYANAI_ZYURYOU","販促社内受領データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:37:42"
"ZT_HSK_UKEBARAI","販促資材受払データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:38:14"
"ZT_HT_INFO","HT情報データ","","fsol05","2010/10/07 19:54:53","fsol10","2010/11/09 19:40:39"
"ZT_HURIHURI_HED","振込振分データ_ヘッダ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:41:28"
"ZT_HURIHURI_MEI","振込振分データ_明細","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:42:18"
"ZT_KANYUKIN_HURIKAE","過入金振替データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:44:01"
"ZT_KASIDAORE_TOUROKU","貸倒損失登録データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:44:56"
"ZT_KGTG_SOUHU_SINSEI_HED","小切手手形送付申請データ_ヘッダ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:46:32"
"ZT_KGTG_SOUHU_SINSEI_MEI1","小切手手形送付申請データ_明細1","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:48:01"
"ZT_KGTG_SOUHU_SINSEI_MEI2","小切手手形送付申請データ_明細2","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:49:20"
"ZT_KRRPT_AZUKEIRE_KOGITTE","経理日報預入小切手データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:50:32"
"ZT_KRRPT_ETC_HT","経理日報その他HTデータ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 19:52:07"
"ZT_KRRPT_ETC_MEI","経理日報その他明細データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/27 14:08:46"
"ZT_KRRPT_H_KGTG_KAISYU","経理日報保留小切手手形回収データ","","fsol05","2010/10/07 19:54:53","fsol10","2011/02/01 09:39:50"
"ZT_KRRPT_HT","経理日報ＨＴデータ","","fsol05","2010/10/07 19:54:53","fsol10","2011/03/30 17:28:23"
"ZT_KRRPT_MATTAN_HURIWAKE","経理日報末端振分入力データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 19:54:16"
"ZT_KRRPT_R_HUNOU_KAISYU","経理日報レンタル不能回収データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 19:55:39"
"ZT_KRRPT_SHNHSK_HURIWAKE","経理日報商品販促代振分データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 19:58:32"
"ZT_KRRPT_SHNHSK_NYUKIN","経理日報商品販促代入金データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:01:06"
"ZT_KRRPT_SINSEI","経理日報申請データ","","fsol05","2010/10/07 19:54:53","fsol10","2011/03/30 16:51:18"
"ZT_KRRPT_SINSEI_HT_INFO","経理日報申請HT情報データ","","fsol10","2010/10/26 20:41:27","fsol22","2011/01/26 20:03:57"
"ZT_KRRPT_SOUHU_KGTG","経理日報送付小切手手形データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:06:43"
"ZT_KRRPT_TABUSYO_HURIWAKE","経理日報他部署振分データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:08:10"
"ZT_KRRPT_TUIKA_KABUSOK","経理日報追加過不足金データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:09:05"
"ZT_NEBIKI_TAX_DENPYOU","値引消費税伝票データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 18:14:14"
"ZT_OROSI_SIRE_KARI_KAIREN","卸仕入仮計上会計連携データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:10:14"
